"Country" "GDP_2_avg"
"1" "BE" 34313
"2" "BG" 5817
"3" "CZ" 16291
"4" "DK" 45989
"5" "DE" 34135
"6" "EE" 13364
"7" "IE" 45856
"8" "EL" 17461
"9" "ES" 23332
"10" "FR" 31753
"11" "HR" 10979
"12" "IT" 26442
"13" "CY" 22387
"14" "LV" 10613
"15" "LT" 11515
"16" "LU" 80707
"17" "HU" 11196
"18" "MT" 19128
"19" "NL" 39548
"20" "AT" 36592
"21" "PL" 10913
"22" "PT" 17023
"23" "SI" 18465
"24" "SK" 14083
"25" "FI" 35528
"26" "SE" 41981
"27" "IS" 35828
"28" "NO" 67743
"29" "CH" 60234
"30" "UK" 31375
"31" "RS" 4741
"32" "TR" 10128
