"TIME" "Pop_1_avg"
"216" "LI00" 34258.9
"217" "NO01" 1025988
"218" "NO02" 371858
"219" "NO03" 888596.8
"220" "NO04" 658377.5
"221" "NO05" 800832.3
"222" "NO06" 401320.2
"223" "NO07" 463011.9
"224" "CH01" 1357194.8
"225" "CH02" 1687521.8
"226" "CH03" 1014520.4
"227" "CH04" 1258709.8
"228" "CH05" 1058557.5
"229" "CH06" 702324.3
"230" "CH07" 319218.6
"231" "UKC1" 1151819.7
"232" "UKC2" 1398045.9
"233" "UKD1" 494208.4
"234" "UKD3" 2558798.7
"235" "UKD4" 1433192.2
"236" "UKE1" 893072.2
"237" "UKE2" 765729.4
"238" "UKE3" 1287593.7
"239" "UKE4" 2125641.3
"240" "UKF1" 2022060.5
"241" "UKF2" 1605328.5
"242" "UKF3" 670566.9
"243" "UKG1" 1246510.5
"244" "UKG2" 1512702.7
"245" "UKG3" 2607528.6
"246" "UKH1" 2247447.7
"247" "UKH2" 1631660.9
"248" "UKH3" 1647649.3
"249" "UKJ1" 2141806.8
"250" "UKJ2" 2601349
"251" "UKJ3" 1812337.5
"252" "UKJ4" 1620192.6
"253" "UKK1" 2224808
"254" "UKK2" 1217080.4
"255" "UKK3" 513098.7
"256" "UKK4" 1096725.9
"257" "UKL1" 1882084
"258" "UKL2" 1076937.2
"259" "UKM5" 447050.1
"260" "UKM6" 444325.1
"261" "UKN0" 1723643.2
"262" "ME00" 611417.7
"263" "MK00" 2035433.4
