"TIME" "Pop_2_avg"
"1" "BE10" 1172085.5
"2" "BE21" 1810567.4
"3" "BE22" 859656.6
"4" "BE23" 1476255.3
"5" "BE24" 1112623.8
"6" "BE25" 1179703.2
"7" "BE31" 392836.5
"8" "BE32" 1333226
"9" "BE33" 1095361.8
"10" "BE34" 279368
"11" "BE35" 487263.1
"12" "BG31" 803296.7
"13" "BG32" 829529.7
"14" "BG33" 950863.8
"15" "BG34" 1059914.2
"16" "BG41" 2122633.9
"17" "BG42" 1449418.1
"18" "CZ01" 1260379.5
"19" "CZ02" 1308909.7
"20" "CZ03" 1213228.3
"21" "CZ04" 1124528.3
"22" "CZ05" 1508552
"23" "CZ06" 1683033.5
"24" "CZ07" 1222430.9
"25" "CZ08" 1220297.9
"26" "DK01" 1759864.4
"27" "DK02" 824361.3
"28" "DK03" 1208503.6
"29" "DK04" 1284630.7
"30" "DK05" 583515.1
"31" "DE11" 4020306.1
"32" "DE12" 2732848.8
"33" "DE13" 2200152.1
"34" "DE14" 1804429.9
"35" "DE21" 4498652.1
"36" "DE22" 1200585.6
"37" "DE23" 1086481.5
"38" "DE24" 1063040
"39" "DE25" 1721828.3
"40" "DE26" 1306350.1
"41" "DE27" 1823130.4
"42" "DE30" 3466710.5
"43" "DE40" 2477795.4
"44" "DE50" 665367.8
"45" "DE60" 1771112.5
"46" "DE71" 3861880.6
"47" "DE72" 1034920.3
"48" "DE73" 1211124.6
"49" "DE80" 1611270.4
"50" "DE91" 1588743.1
"51" "DE92" 2119843
"52" "DE93" 1686731.8
"53" "DE94" 2474251.7
"54" "DEA1" 5137482.6
"55" "DEA2" 4376058.9
"56" "DEA3" 2594379.4
"57" "DEA4" 2040298.4
"58" "DEA5" 3584538.4
"59" "DEB1" 1485428.9
"60" "DEB2" 523205.3
"61" "DEB3" 2018415.6
"62" "DEC0" 997330.3
"63" "DED2" 1599245.7
"64" "DEE0" 2258298.3
"65" "DEF0" 2841495
"66" "DEG0" 2173808
"67" "EE00" 1321456.2
"68" "EL30" 3861264.6
"69" "EL41" 202994.4
"70" "EL42" 336380.5
"71" "EL43" 630503.3
"72" "EL51" 606676.6
"73" "EL52" 1899302.9
"74" "EL53" 277442.4
"75" "EL54" 340133.3
