"CSP01" "CSP02" "CSP03" "CSP04" "CSP05" "CSP06" "CSP07" "CSP08" "CSP09" "CSP10" "CSP11" "CSP12" "CSP13" "CSP14" "CSP15" "CSP16" "CSP17" "CSP18" "CSP19" "CSP20" "CSP21" "CSP22"
"DEA42" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA44" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1.5 0
"DEA45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.14285714285714 0
"DEA47" 0 0 0 0 0 0 0 0 1.45 0 0 0 0 0 0 0 0 0 0 0 3.2 0
"DEA51" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA52" 0 0 0 0 0 0 0 0 10.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA53" 0 0 0 0 0 0 0 0 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA55" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA56" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA57" 0 0 0 0 0 0 0 0 1.26785714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA58" 0 0 0 0 0 0 0 0 3.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA59" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEA5A" 1.33333333333334 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB12" 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB16" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB17" 0 0 0 0 0 0 0 0 0.95 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB18" 0 0 0 0 0 0 0 0 2.28333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB25" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DEB33" 0 0 0 0 0 0 0 0 4.63333333333333 0 0 0 0 0 0 0 0 0 0 0 2 0
"DEB34" 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.999999999999999 0
"DEB35" 1.33333333333334 0 0 0 0 0 0 0 4.66666666666668 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB39" 1.33333333333334 0 0 0 0 0 0 0 4.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEB3B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.999999999999999 0
"DEB3C" 0 0 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 0 0
"DEB3E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.16666666666667 0
"DEB3H" 0 0 0 0 0 0 0 0 8.99999999999999 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"DEB3I" 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0.833333333333333 0
"DEB3J" 0 0 0 0 0 0 0 0 7.58333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEC01" 0 0 0 0 0 0 0 0 6.65 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEC03" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEC05" 0 0 0 0 0 0 0 0 4.15 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED21" 0 0 0 0 0 0 0 0 22.8892857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED2C" 0 0 0 0 0 0 0 0 3.13333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED2D" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED2E" 0 0 0 0 0 0 0 0 21.7142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED2F" 0 0 0 0 0 0 0 0 11.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DED43" 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEE03" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEE05" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEE0B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"DEE0C" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"DEF02" 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF03" 0 0 0 0 0 0 0 0 1.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF05" 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF06" 0 0 0 0 0 0 0 0 5.42380952380953 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF0A" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF0B" 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF0E" 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEF0F" 0 0 0 0 0 0 0 0 2.75 0.333333333333333 2.75 0 0 0 0 0 0 0 0 0 0 0
"DEG01" 0 0 0 0 0 0 0 0 1.33333333333334 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG02" 0 0 0 0 0 0 0 0 3.28571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG03" 0 0 0 0 0 0 0 0 10.25 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0
"DEG06" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"DEG0B" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG0G" 0 0 0 0 0 0 0 0 3.00000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG0I" 0 0 0 0 0 0 0 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG0J" 0 0 0 0 0 0 0 0 1.25 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0
"DEG0K" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"DEG0L" 0 0 0 0 0 0 0 0 4.25000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEG0P" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEZZZ" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0
"DK011" 0 0 0.25 0 0 0 0 0.4 2.66666666666666 0 1 0 0 0 0 0 0 0 0 0 0 0
"DK012" 0 0 0.25 0 0 0 0 0.4 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK013" 1 0 0 0 0 0 0 0.4 4.16666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK021" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK032" 0 0 0 0 0 0 0 0 5.66666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK041" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK042" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"DK050" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EE001" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"EL304" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"EL632" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES111" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES114" 0 0 0 0 0 0 0 0 0.924242424242424 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES120" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"ES211" 0 0 0 0 0 0 0 0 4.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES212" 0 0 0 1.25 0 0.75 0 0 7.95 0 0 0 0 0 0.75 0 0 0 0 0 0 0
"ES213" 0 0 0 1.25 0 0.75 0 0 1 0 0 0 0 0 0.75 0 0 0 0 0 0 0
"ES220" 0 0 0 0 0 0 0 0 1.375 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES243" 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0
"ES300" 1.33333333333334 1 2.5 1.25 0 1 0 0 10.740873015873 0 2.2 0 0 0 0 0 0 0 0 0 1 0
"ES415" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES511" 0 0 1 0 0 0 0 0 8.27380952380953 0 0 0 0 0 0 0 0 0 0 0 1 0
"ES521" 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES612" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES614" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES616" 0 0 0 0 0 0 0 0 1.06666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"ES618" 0 0 0 0 0 0 0 0 0.948051948051949 0.166666666666667 0.900000000000001 0 0 0 0 0 0 0 0 0 0 0
"FI196" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI197" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 1 0
"FI1B1" 0 0 0 0 0 0 0 0 33.2555555555556 0 0 0 0.5 0 0 0 0 0 0 0 1.16666666666667 0
"FI1C1" 0 0 0 0 0 0 0 0 5.08571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI1C2" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI1C3" 2 0 0 0 0 0 0 0 1.28571428571428 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI1D1" 0 0 0 0 0 0 0 0 0.999999999999999 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0
"FI1D6" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"FI200" 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0
"FIZZZ" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR101" 0 0 0 0 0 0 0 0 11.1904761904762 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR102" 0 0 0 0 0 0 0 3 2.66666666666667 0 0 0 0 0 3 0 0 0 0 0 0 0
"FR103" 0 0 0 0 0 0 0 0 9.62619047619047 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR104" 0 0 0 0 0 0 0 0 23.9333333333333 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0
"FR105" 0 0 0 0 0 0 0 0 8.90238095238095 0 0 0 0 0 0 0 0 0 0 0 1.5 0
"FR107" 0.25 0 0 0 0 0 0 0 5.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 1
"FR108" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR211" 0 0 0 0 0 0 0 0 3.08333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR222" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"FR231" 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR232" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR242" 0 0 0 0 0 0 0 3 0.916666666666666 0 0 0 0 0 3 0 0 0 0 0 0 0
"FR246" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR251" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR263" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"FR301" 0 0 0 0 0 0 0 0 2.08333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR411" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR413" 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0.2 0 0 0 0 0 0
"FR421" 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR422" 0 0 0 0 0.4 0 0 0 4.91428571428572 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR431" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR521" 0 0 0 0 0 0 0 0 6.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR523" 0 0 0 0 0 0 0 0 3.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR534" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR612" 0 0 0 0 0 0 0 0 0.916666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR615" 0 0 0 0 0 0 0 0 5.1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR623" 0 0 0 0 0 0 0 0 5.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"FR631" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR632" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR633" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR711" 0 0 0 0 0 0 0 0 3.58333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR714" 0 0 0 0 0 0 0 0 115.641666666667 0 6 0 0 0 0 0 0.5 0 0.333333333333333 0 0 0
"FR715" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR716" 0 0 8.5 0 1 0 0.5 0 6.41666666666666 0 0 0 0 0 0 0 0.5 0 0 0 0 0
"FR717" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"FR718" 0 0 0 0 0 0 0 0 0.785714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"FR823" 0 0 0 0 0 0 0 0 0 2 1.33333333333333 0 0 0 0 0 0 0 0 0 1.55 0
"FR825" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"FR826" 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GBZZZ" 0 0 1 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"IE021" 0 0 0 0 0 0 0 0 2.4 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"IE023" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC11" 0 0 0 0 0 0 0 0 6.7 0 0 0 0 0 0 0 0 0 0 0 1.25 0
"ITC13" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC15" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC17" 0 0 0 0 0 0 0 0 1.86666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC18" 0 0 1 0 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
"ITC33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.41666666666667 0
"ITC41" 0 0 0 0 0 0 0 0 1.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC42" 0 0 0 0 0 0 0 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0 2.16666666666667 0
"ITC43" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC46" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC47" 0 0 0 0 0 0 0 0 12.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITC4A" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITC4C" 0 0.5 1.5 0 1.7 0 0 0.5 5.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"ITC4D" 0 0 0 0 0.2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"ITF33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITF45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITG17" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITG18" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITH20" 0 0 0 0 0 0 0 0 0.8 0 0.2 0 0 0 0 0 0 0 0 0 0 0
"ITH31" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"ITH35" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITH36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITH42" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITH43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"ITH51" 0 0 0 0 0 0 0 0 1.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITH52" 0 0 0 0 0 0 0 0 1.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITH55" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ITI14" 0 0 0 0 0 0 0 0 11.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITI15" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITI21" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ITI22" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ITI43" 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0
"ITI44" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"JE000" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"LIZZZ" 0 0 0 0 0 0 0 0 5.66666666666668 0 0 0 0 0 0 0 0 0 0 0 0 0
"LT00A" 0 0 0 0 0 0 0 0 1.08333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"LU000" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"LV006" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL133" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL212" 0 0 0 0 0 0 0 0 6.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL213" 0 0 0 0 0 0 0 0 8.23333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL225" 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL226" 0 0 0 0 0 0 0 0 4.81666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL310" 0 0 0 0 0 0 0 0 4.9 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL323" 0 0 0 0 0 0 0 0 3.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL332" 0 0 0 0 0 0 0 0.142857142857143 1.5 0 1.5 0 0 0 0.666666666666668 0 0 0 0 0 0 0
"NL333" 0 0 0 0 0 0 0 0 9.58095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL337" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"NL341" 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL412" 0 0 0 0 0 0 0 0 18.7333333333333 0 0.5 0 0 0 0 0 0 0 0 0 0 0
"NL413" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL414" 0 1 0 0 0 0 0 0 17.6190555555556 0 0.5 0 0 0 0 0 0 0 0 0 1.35238095238095 0
"NL421" 0 0 0 0 0 0 0 0 37.5666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL422" 0 0 0 0 0 0 0 0 3.4365 0 0 0 0 0 0 0 0 0 0 0 0 0
"NL423" 0 0 0 0 0 0 0 0 11.5555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0
"NLZZZ" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"NO011" 0 0 0 0 0 0 0 0 2.375 0 0.375 0 0 0 0 0 0 0 0 0 0.916666666666666 0
"NO012" 0 0 0 0 0 0 0 0 1.70833333333333 0 0.375 0 0 0 0 0 0 0 0 0 1.08333333333333 0
"NO032" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"NO033" 0 0 0 0 0 0 0 0 0.375 0 0.375 0 0 0 0 0 0 0 0 0 0 0
"NO043" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"NO051" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"NO052" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0
"NO053" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"PL113" 0 0 0 0 0 0 0 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL127" 0 0 0 0 0 0 0 0 5.23333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL12A" 0 0 0 0 0 0 0 0 2.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL213" 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL224" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL22A" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL22B" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL324" 0 0 0 0 0 0 0 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL523" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL524" 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PT112" 0 0 0 0 0 0 0 0 0.999999999999999 0 0.666666666666666 0 0 0 0 0 0 0 0 0 0 0
"PT11A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.833333333333333 0
"PT11E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"PT150" 0 0 0 0 0 0 0 0 6.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"PT170" 0 0 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 1 0
"RO321" 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROZZZ" 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE110" 0 0.5 0 0 0 0 0 0.5 42.9833333333333 0 0.5 0 0 0 1 0 2 0 0.333333333333333 0 0 0
"SE121" 0 0 0 0 0 0 0 0 14.1666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE123" 0 0 0 0 0 0 0 0 27.9833333333333 0.5 0 0 0 0 0 0 0 0 0.583333333333333 0 0.0833333333333333 0
"SE124" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0
"SE125" 0 0 0 0 0 0 0 0 47.9214285714286 0 0 0 0 0 0 0 0 0 0 0 2.75 0
"SE211" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE213" 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"SE231" 0 0 0 0 0 0 0 0 5.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE232" 0 0 0 0.333333333333333 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0.583333333333333 0
"SE311" 0 0 0 0 0 0 0 0 1.16666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE312" 0 0 0 0 0 0 0 0 5.66666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"SE331" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.25 0
"SEZZZ" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"SI034" 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0
"SI041" 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0
"SK010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0
"SK041" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"TR212" 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0
"UKD12" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD31" 0 0 0 0 0 0 0 0 2.07142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD32" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD43" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD62" 0 0 0 0 0 0 0 0 1.57142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD63" 0 0 0 0 0 0 0 0 4.07142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKD74" 0 0 0 0 0 0 0 0 1.57142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKE32" 0 0 0 0 0 0 0 0 6.99999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKE42" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"UKE44" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
