"CSP01" "CSP02" "CSP03" "CSP04" "CSP05" "CSP06" "CSP07" "CSP08" "CSP09" "CSP10" "CSP11" "CSP12" "CSP13" "CSP14" "CSP15" "CSP16" "CSP17" "CSP18" "CSP19" "CSP20" "CSP21" "CSP22"
"CH057" 0 0 0 0 0 0 0 0 3.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH061" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"CH063" 0 0 0 0 0 0 0 0 3.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"CH070" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"CZ010" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.961904761904763 0
"CZ020" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2952380952381 0
"CZ031" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"CZ032" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0.795238095238096 0
"CZ042" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666666 0
"CZ051" 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 1.0952380952381 0
"CZ071" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"CZ080" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE111" 0 0 0 0 0 0 0 0 3.16666666666667 0.666666666666666 0 1 0 0 0 0.2 0 0.4 0 0 0 0
"DE112" 0.25 0 0 0 0 0 0 0 2.41666666666666 0.666666666666666 3 0 0 0 0 0.2 0 0 0 0 1.5 0
"DE113" 0 0 0 0 0 0 0 0 15.6666666666667 0 0 0 0 0 0 0 0 0.9 0 0 0.75 0
"DE114" 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"DE115" 0 0 0 0 0 0 0 0 1.66666666666666 0 0 0 0 0 0 0 0 0.4 0 0 0 0
"DE116" 0 0 0 0 0 0 0 0 2.01666666666667 0 0 0 0 0 0 0.2 0 0.9 0 0 0 0
