"Country" "share"
"1" "BE" 0.392432887161502
"2" "BG" 0.51357458651207
"3" "CZ" 0.672871167061137
"4" "DK" 0.765211715795702
"5" "DE" 0.617598956545392
"6" "EE" 0.986660488488556
"7" "IE" 0.908050449567982
"8" "GR" 0.895140848520999
"9" "ES" 0.580345886078128
"10" "FR" 0.0947575660558704
"11" "HR" 0.495859549187629
"12" "IT" 0.795818095200157
"13" "CY" 0.998796563919215
"14" "LV" 0.365607131217775
"15" "LT" 0.184218520915611
"16" "LU" 0.696334265263384
"17" "HU" 0.58502011323681
"18" "MT" 1
"19" "NL" 0.883675925447269
"20" "AT" 0.30975423964984
"21" "PL" 0.963395699341923
"22" "PT" 0.682219843010679
"23" "RO" 0.598517624582659
"24" "SI" 0.374490904009725
"25" "SK" 0.283763200059832
"26" "FI" 0.403302501287675
"27" "SE" 0.0345515973294629
"28" "IS" 0.00038040096982086
"29" "NO" 0.00703646223484651
"30" "UK" 0.747772145065209
"31" "MK" 0.823846699521421
"32" "AL" 0.0233851543682943
"33" "RS" 0.703319609406369
"34" "TR" 0.770730788181983
"35" "XK" 20.5622901236038
"36" "UA" 0.183603298054671
