"Country" "share"
"1" "BE" 0.336977189622149
"2" "BG" 0.505441344452424
"3" "CZ" 0.55316525217991
"4" "DK" 0.423391392264351
"5" "DE" 0.553757934724269
"6" "EE" 0.86590814944774
"7" "IE" 0.734842608200467
"8" "GR" 0.756981002354485
"9" "ES" 0.431897262611258
"10" "FR" 0.0888118650341178
"11" "HR" 0.358984914976781
"12" "IT" 0.630276519598721
"13" "CY" 0.929431231309884
"14" "LV" 0.43443445802258
"15" "LT" 0.449566337871631
"16" "LU" 0.417343873719151
"17" "HU" 0.413556825810768
"18" "MT" 0.948637633848123
"19" "NL" 0.818133407666517
"20" "AT" 0.226888538880813
"21" "PL" 0.877266128054931
"22" "PT" 0.479287775104166
"23" "RO" 0.448014809088221
"24" "SI" 0.324507119080771
"25" "SK" 0.223008184890276
"26" "FI" 0.26112968641573
"27" "SE" 0.0181103347458796
"28" "IS" 0.000155586405390224
"29" "NO" 0.0222896180566136
"30" "UK" 0.58501584149636
"31" "MK" 0.725553128097064
"32" "AL" 0.000997840490241694
"33" "RS" 0.709709575283935
"34" "TR" 0.696383588559593
"35" "XK" 13.0448664327819
"36" "UA" 0.159679178874183
