"nuts2" "inter_link"
"1" "AT12" 9140.24
"2" "AT13" 0
"3" "AT22" 17946.84
"4" "AT33" 0
"5" "BE21" 23670.72
"6" "BE23" 29450.7
"7" "BE24" 23970.6
"8" "BE25" 15180.36
"9" "BE31" 57751.5
"10" "BE32" 0
"11" "BE33" 55201.44
"12" "BG42" 55251.56
"13" "CH01" 3666.71
"14" "CH03" 4486.71
"15" "CH04" 20170.26
"16" "CY00" 48751.56
"17" "CZ08" 5070.12
"18" "DE11" 4520.1
"19" "DE12" 31667.1
"20" "DE14" 18333.55
"21" "DE21" 14850.54
"22" "DE24" 0
"23" "DE25" 58667.36
"24" "DE30" 7973.42
"25" "DE40" 62813.94
"26" "DE60" 12260.07
"27" "DE92" 8973.42
"28" "DE93" 13460.13
"29" "DEA2" 22850.6
"30" "DEA3" 0
"31" "DED2" 4486.71
"32" "DED4" 26920.26
"33" "DED5" 29333.68
"34" "DEG0" 8973.42
"35" "DK01" 2545
"36" "DK03" 4620.12
"37" "DK04" 46876.8
"38" "DK05" 51101.26
"39" "EE00" 8790.24
"40" "EL30" 39700.9
"41" "EL43" 9140.24
"42" "EL51" 8790.24
"43" "EL52" 0
"44" "EL61" 9140.24
"45" "EL63" 0
"46" "ES11" 4100.12
"47" "ES12" 11000.13
"48" "ES13" 0
"49" "ES24" 7940.18
"50" "ES30" 18680.4
"51" "ES41" 24520.14
"52" "ES43" 0
"53" "ES51" 55441.44
"54" "ES52" 6150.24
"55" "ES61" 12360.36
"56" "ES70" 0
"57" "FI1B" 6400.18
"58" "FI1C" 8050.24
"59" "FI1D" 4845.12
"60" "FR10" 145794.98
"61" "FRB0" 40380.39
"62" "FRD1" 0
"63" "FRE1" 13460.13
"64" "FRE2" 22433.55
"65" "FRF1" 11000.13
"66" "FRF3" 51333.94
"67" "FRG0" 0
"68" "FRH0" 0
"69" "FRI1" 26681.97
"70" "FRI2" 15246.84
"71" "FRJ1" 28256.97
"72" "FRJ2" 26681.97
"73" "FRK1" 0
"74" "FRK2" 78060.78
"75" "FRL0" 3995.1
"76" "HR03" 0
"77" "HU11" 0
"78" "HU21" 0
"79" "IE04" 7890.24
"80" "IE05" 7890.24
"81" "IE06" 5983.42
"82" "IS00" 8973.42
"83" "ITC1" 14666.84
"84" "ITC3" 4250.12
"85" "ITC4" 0
"86" "ITF1" 4670.1
"87" "ITF3" 21450.72
"88" "ITF5" 17580.48
"89" "ITF6" 20850.5
"90" "ITG1" 21490.63
"91" "ITG2" 0
"92" "ITH2" 64602.04
"93" "ITH3" 7300.18
"94" "ITH5" 7333.42
"95" "ITI1" 38540.16
"96" "ITI2" 55251.56
"97" "ITI3" 3945.12
"98" "ITI4" 30378.48
"99" "LT01" 4970.12
"100" "LT02" 4970.12
"101" "NL11" 0
"102" "NL12" 13185.36
"103" "NL21" 8790.24
"104" "NL22" 20670.72
"105" "NL31" 21520.14
"106" "NL33" 32160.96
"107" "NL34" 9240.24
"108" "NL41" 9140.24
"109" "NO06" 4086.69
"110" "NO08" 32493.68
"111" "NO0A" 20933.55
"112" "PL21" 3800.12
"113" "PL41" 0
"114" "PL51" 7966.92
"115" "PL52" 5070.12
"116" "PL61" 0
"117" "PL62" 7966.92
"118" "PL71" 0
"119" "PL72" 0
"120" "PL82" 4250.12
"121" "PL91" 0
"122" "PL92" 9606.92
"123" "PT11" 0
"124" "PT17" 76502.16
"125" "PT18" 4486.71
"126" "RO11" 55251.56
"127" "RO32" 4250.12
"128" "SE11" 24850.84
"129" "SE12" 14146.84
"130" "SE21" 0
"131" "SE22" 59501.68
"132" "SE23" 23625.84
"133" "SE31" 0
"134" "SE33" 11660.04
"135" "SI03" 4670.1
"136" "SI04" 55251.56
"137" "TR10" 11385.36
"138" "TR21" 0
"139" "TR31" 47951.26
"140" "TR32" 3650.09
"141" "TR33" 58401.44
"142" "TR42" 16975.35
"143" "TR51" 3666.71
"144" "TR52" 0
"145" "TR61" 13533.72
"146" "TR62" 0
"147" "TR63" 8940.18
"148" "TR71" 4170.1
"149" "TR72" 4670.1
"150" "TR81" 8790.24
"151" "TR90" 0
"152" "TRA1" 4250.12
"153" "TRA2" 4250.12
"154" "TRB1" 0
"155" "TRC1" 11910.27
"156" "TRC2" 4620.12
"157" "TRC3" 4470.09
"158" "UKC1" 16346.76
"159" "UKC2" 4120.12
"160" "UKD3" 0
"161" "UKD4" 17046.84
"162" "UKD7" 0
"163" "UKE1" 0
"164" "UKE4" 73334.2
"165" "UKF1" 22166.97
"166" "UKF2" 4250.12
"167" "UKG3" 11535.21
"168" "UKH1" 22000.26
"169" "UKH2" 9635.04
"170" "UKI3" 47240.28
"171" "UKI7" 0
"172" "UKJ1" 23170.14
"173" "UKJ2" 18680.4
"174" "UKJ3" 27600.12
"175" "UKK1" 4086.69
"176" "UKK4" 4570.12
"177" "UKL1" 4845.12
"178" "UKL2" 0
"179" "UKM5" 8973.42
"180" "UKM7" 27906.97
"181" "UKM8" 3970.09
"182" "UKM9" 13460.13
