"nuts2" "inter_link"
"211" "PL52" 3017518.24
"212" "PL61" 18139221.1
"213" "PL62" 5993820.14
"214" "PL63" 28637646.24
"215" "PL71" 37325033.36
"216" "PL72" 2481495.21
"217" "PL81" 10660986.42
"218" "PL82" 4574051.62
"219" "PL84" 7049125.98
"220" "PL91" 166545772.5
"221" "PL92" 2721937.1
"222" "PT11" 79472556.18
"223" "PT15" 10895123.2
"224" "PT16" 149751196.38
"225" "PT17" 142459813.96
"226" "PT18" 1923360.25
"227" "PT30" 1655320.2
"228" "RO11" 27398233.8
"229" "RO12" 4861456.2
"230" "RO21" 28590463.56
"231" "RO22" 11674549.02
"232" "RO31" 4607816
"233" "RO32" 112004660.6
"234" "RO41" 2196248.88
"235" "RO42" 5330903.2
"236" "RS11" 32053877.79
"237" "RS12" 5463994.2
"238" "RS21" 832481.76
"239" "RS22" 1380192
"240" "SE11" 165054136.2
"241" "SE12" 348980676
"242" "SE21" 5469083.6
"243" "SE22" 160275992.46
"244" "SE23" 177560424.68
"245" "SE31" 21357939.93
"246" "SE32" 4904669.16
"247" "SE33" 53392256.4
"248" "SI03" 5956930.54
"249" "SI04" 66767124.51
"250" "SK01" 75151003.62
"251" "SK02" 2745984.9
"252" "SK03" 4925429.82
"253" "SK04" 4914183.24
"254" "TR10" 52976715.2
"255" "TR21" 1385558.8
"256" "TR22" 17778023.36
"257" "TR31" 49527789.3
"258" "TR32" 10346171.08
"259" "TR33" 5181721.04
"260" "TR41" 20134567.44
"261" "TR42" 26270094.38
"262" "TR51" 84488998.9
"263" "TR52" 2722048.3
"264" "TR61" 17049336.32
"265" "TR62" 10139335.94
"266" "TR63" 2471157.45
"267" "TR71" 12886396.32
"268" "TR72" 5112160.71
"269" "TR81" 1368428.95
"270" "TR83" 10352147.91
"271" "TR90" 6528069.6
"272" "TRA1" 6962882.94
"273" "TRA2" 556219.1
"274" "TRB1" 36030220.58
"275" "TRB2" 2479175.64
"276" "TRC1" 1629621.18
"277" "TRC2" 10506247.05
"278" "TRC3" 1393358.8
"279" "UKC1" 191367674.12
"280" "UKC2" 85312769.5
"281" "UKD1" 8281626.9
"282" "UKD3" 198891118.33
"283" "UKD4" 41858716.83
"284" "UKD6" 102204167.49
"285" "UKD7" 98016309.7
"286" "UKE1" 19508500.5
