"nuts2" "inter_link"
"215" "PL91" 5726029.26
"216" "PL92" 221577.39
"217" "PT11" 12115793.55
"218" "PT15" 283512.72
"219" "PT16" 12297679.2
"220" "PT17" 24017439.82
"221" "PT18" 2385068.04
"222" "PT30" 217773.09
"223" "RO11" 1326641.4
"224" "RO12" 628492.41
"225" "RO21" 529230.24
"226" "RO22" 1422257.2
"227" "RO31" 948321.27
"228" "RO32" 4564498.41
"229" "RO41" 415126.56
"230" "RO42" 941210.48
"231" "RS11" 1234981.8
"232" "RS12" 1094903.84
"233" "RS21" 73041.14
"234" "RS22" 279869.32
"235" "SE11" 14227195.4
"236" "SE12" 8938269.18
"237" "SE21" 1421869.8
"238" "SE22" 2854152.9
"239" "SE23" 6734983.83
"240" "SE31" 2597354.49
"241" "SE32" 145346.06
"242" "SE33" 2961073.32
"243" "SI03" 1442121.12
"244" "SI04" 2030793.93
"245" "SK01" 631478.52
"246" "SK02" 0
"247" "SK03" 552741.28
"248" "SK04" 355012.95
"249" "TR10" 8110205.2
"250" "TR21" 144822.24
"251" "TR22" 620292.87
"252" "TR31" 2558281.51
"253" "TR32" 1108556.32
"254" "TR33" 1925104.97
"255" "TR41" 974101.2
"256" "TR42" 4189507.74
"257" "TR51" 5473928.85
"258" "TR52" 1658285.73
"259" "TR61" 649825.92
"260" "TR62" 1709583.12
"261" "TR63" 1303823.7
"262" "TR71" 2013466.8
"263" "TR72" 1940693.34
"264" "TR81" 1011086.1
"265" "TR82" 499335.06
"266" "TR83" 873622.36
"267" "TR90" 608207.94
"268" "TRA1" 288376.36
"269" "TRA2" 147545.88
"270" "TRB1" 262614.16
"271" "TRB2" 1154297.28
"272" "TRC1" 697882.1
"273" "TRC2" 220108.65
"274" "TRC3" 145764.2
"275" "UKC1" 5447451.95
"276" "UKC2" 8202104.94
"277" "UKD1" 220110.93
"278" "UKD3" 7181299.48
"279" "UKD4" 1657156
"280" "UKD6" 1049347.05
"281" "UKD7" 3674597.29
"282" "UKE1" 984308.92
"283" "UKE2" 1046701.65
"284" "UKE3" 6403396.8
"285" "UKE4" 3257682
"286" "UKF1" 9406063.9
"287" "UKF2" 4852110.12
"288" "UKF3" 971114.2
"289" "UKG1" 2817180.11
"290" "UKG2" 2694590.34
"291" "UKG3" 10436000.24
"292" "UKH1" 9971494.14
"293" "UKH2" 2371303.47
"294" "UKH3" 662476.4
"295" "UKI3" 24535125.9
"296" "UKI4" 0
"297" "UKI6" 432554.34
"298" "UKI7" 2402002.8
"299" "UKJ1" 8765942.77
"300" "UKJ2" 3573576.81
"301" "UKJ3" 4548743.73
"302" "UKJ4" 955722.46
"303" "UKK1" 8652244.13
"304" "UKK2" 358171.05
"305" "UKK3" 3688790.22
"306" "UKK4" 3978507.47
"307" "UKL1" 2089493.01
"308" "UKL2" 4197142.62
"309" "UKM5" 5889062.36
"310" "UKM6" 941980.52
"311" "UKM7" 9458994.22
"312" "UKM8" 17028290.79
"313" "UKM9" 72857.42
"314" "UKN0" 3901934.61
