id	label	x	y	cluster	weight
2357	2357	0.9593	-0.2928	3	2
2361	2361	0.6098	0.6537	5	1
2367	2367	0.8171	0.543	5	1
2370	2370	-0.351	-0.2333	4	2
2377	2377	-0.3701	0.7068	1	2
2186	2186	-0.9132	-0.1512	2	1
2187	2187	-0.6369	-0.3887	2	3
2201	2201	-0.8514	-0.1173	2	3
2211	2211	-0.2262	0.9047	1	1
2213	2213	0.7064	-0.5283	3	1
2217	2217	0.7249	-0.1766	3	1
2223	2223	-0.7917	-0.2908	2	5
2227	2227	0.8549	0.1964	5	1
2230	2230	0.3817	-0.5626	3	1
2240	2240	0.4101	-0.6032	3	2
2243	2243	0.7999	-0.0545	3	1
2250	2250	-0.1735	-0.5497	3	1
2260	2260	-0.5883	0.3543	2	3
2261	2261	0.0069	-0.1375	4	6
2269	2269	0.3102	0.5496	5	1
2277	2277	0.8546	0.2595	5	2
2281	2281	0.461	-0.5569	3	1
2074	2074	0.777	-0.3964	3	21
2079	2079	-0.6649	-0.1682	2	1
2080	2080	0.8359	-0.0254	3	2
2081	2081	-0.8456	-0.2281	2	9
2088	2088	0.839	0.5388	5	6
2102	2102	1.0482	0.2262	5	1
2103	2103	0.7326	-0.1765	3	11
2104	2104	-0.578	0.3113	5	1
2105	2105	0.6608	-0.1719	3	1
2112	2112	-0.1463	0.7745	1	22
2116	2116	0.3917	-0.5498	3	1
2118	2118	0.7545	-0.0969	3	1
2121	2121	-0.6838	0.4018	2	3
2126	2126	-0.8421	0.0452	4	12
2129	2129	-0.3761	-0.3277	4	1
2135	2135	-0.9826	-0.0908	2	1
2142	2142	0.6356	-0.4149	3	1
2143	2143	-0.6627	-0.1788	2	1
2144	2144	1.1802	-0.3018	3	1
2147	2147	-0.5301	0.5559	1	1
2148	2148	-0.4975	-0.3211	2	2
2150	2150	0.9693	-0.3338	3	1
2153	2153	-0.6885	-0.2031	2	1
2166	2166	-0.1677	-0.1559	4	2
2168	2168	-0.9292	-0.1773	2	1
1982	1982	0.0246	-0.7184	3	1
1983	1983	0.7658	-0.517	3	1
1992	1992	-0.7336	0.0449	2	1
1994	1994	0.5817	0.1419	3	1
1998	1998	0.3017	0.0147	4	1
2022	2022	-0.1944	0.7864	1	4
2026	2026	-0.2814	-0.4597	2	1
2049	2049	-0.8837	-0.1554	2	1
2085	2085	-0.1548	-0.3233	4	1
2086	2086	-0.7484	-0.1072	2	2
1904	1904	0.972	-0.1301	5	1
1911	1911	0.841	-0.032	5	2
1918	1918	0.8167	0.1337	3	104
1919	1919	0.6632	-0.2705	3	1
1925	1925	0.8096	-0.5594	3	2
1927	1927	-0.2562	-0.1821	4	19
1928	1928	-0.3923	-0.3763	4	1
1933	1933	-0.6526	0.287	2	2
1935	1935	0.009	-0.7201	3	1
1939	1939	0.873	0.411	5	1
1940	1940	-0.5062	0.5734	1	1
1942	1942	-0.2091	0.8927	1	2
1944	1944	-0.7112	-0.342	2	7
1947	1947	-0.5318	-0.3245	4	3
1948	1948	-0.873	-0.1005	2	1
1955	1955	-0.2206	0.8956	1	1
1956	1956	0.6386	-0.5675	3	43
1958	1958	0.4781	-0.5801	3	5
1875	1875	-0.9224	0.0024	2	1
1877	1877	0.0619	-0.439	3	1
1888	1888	-0.8763	0.1684	2	1
1892	1892	-0.7404	-0.2508	2	5
1896	1896	-0.3684	0.597	1	1
1897	1897	0.2511	-0.5535	3	1
1789	1789	0.2349	-0.4207	3	1
1799	1799	0.6608	0.4163	5	1
1807	1807	-0.908	-0.2152	2	1
1820	1820	-0.653	-0.2553	2	1
1824	1824	1.1555	0.2078	5	6
1830	1830	0.6517	0.442	5	3
1831	1831	-0.2027	0.7601	1	3
1835	1835	-0.7666	-0.2353	2	1
