id	label	description	x	y	cluster	weight
615	615	"<table><tr><td>Micro-level field;</td><td>615</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on energy conversion; ieee industrial electronics society; iet renewable power generation; energies</td></tr><tr><td>Terms;</td><td>variable speed wind turbine; dfig; fed induction generator; wind turbine; wind generation</td></tr></table>"	0.8507	0.2247	5	338
217	217	"<table><tr><td>Micro-level field;</td><td>217</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review e; physica a-statistical mechanics and its applications; lecture notes in computer science; scientific reports; plos one</td></tr><tr><td>Terms;</td><td>scale free network; epidemic; cascading failure; failure; interdependent network</td></tr></table>"	0.5212	0.5304	5	292
1532	1532	"<table><tr><td>Micro-level field;</td><td>1532</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>nucleic acids research; plos one; proceedings of the national academy of sciences of the united states of america; rna; biochemical and biophysical research communications</td></tr><tr><td>Terms;</td><td>rna interference; rnai; small interfering rna; gene silencing; piwi</td></tr></table>"	-0.7027	-0.2411	2	259
256	256	"<table><tr><td>Micro-level field;</td><td>256</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>shunt active power filter; lcl filter; dynamic voltage restorer; unified power quality conditioner; upqc</td></tr></table>"	0.8579	0.2214	5	150
331	331	"<table><tr><td>Micro-level field;</td><td>331</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; ieee industrial electronics society; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>modular multilevel converter; mmc; selective harmonic elimination; hvdc application; capacitor voltage balancing</td></tr></table>"	0.8596	0.2183	5	115
1264	1264	"<table><tr><td>Micro-level field;</td><td>1264</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine; complex terrain</td></tr></table>"	0.7437	0.0233	3	90
1835	1835	"<table><tr><td>Micro-level field;</td><td>1835</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of biological chemistry; plos one; antioxidants & redox signaling; biochemical and biophysical research communications; free radical biology and medicine</td></tr><tr><td>Terms;</td><td>carbon monoxide; heme oxygenase; molecule; corm; heme</td></tr></table>"	-0.7666	-0.2353	2	88
282	282	"<table><tr><td>Micro-level field;</td><td>282</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on magnetics; international conference on electrical machines and systems icems; ieee transactions on industry applications; ieee energy conversion congress and exposition; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>torque reduction; cogging torque; axial flux permanent magnet machine; slot; electrical machine</td></tr></table>"	0.857	0.2099	5	82
864	864	"<table><tr><td>Micro-level field;</td><td>864</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>prion; plos one; journal of biological chemistry; journal of general virology; journal of virology</td></tr><tr><td>Terms;</td><td>prion protein; prion; creutzfeldt jakob disease; prion disease; scrapie</td></tr></table>"	-0.7445	-0.1908	2	74
634	634	"<table><tr><td>Micro-level field;</td><td>634</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of controlled release; biomaterials; international journal of pharmaceutics; bioconjugate chemistry; biomacromolecules</td></tr><tr><td>Terms;</td><td>polyplex; transfection; plasmid dna; gene delivery; gene transfer</td></tr></table>"	-0.5038	-0.3724	2	60
588	588	"<table><tr><td>Micro-level field;</td><td>588</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; ieee transactions on power electronics; ieee energy conversion congress and exposition; annual ieee applied power electronics conference and exposition (apec); ieee industrial electronics society</td></tr><tr><td>Terms;</td><td>maximum power point tracking; photovoltaic module; partial shading condition; mppt; pv array</td></tr></table>"	0.8558	0.2169	5	56
142	142	"<table><tr><td>Micro-level field;</td><td>142</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>helicobacter; alimentary pharmacology & therapeutics; world journal of gastroenterology; digestive diseases and sciences; journal of gastroenterology and hepatology</td></tr><tr><td>Terms;</td><td>helicobacter pylori; triple therapy; clarithromycin; h pylori; caga</td></tr></table>"	-0.8081	-0.1889	2	54
1442	1442	"<table><tr><td>Micro-level field;</td><td>1442</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>renewable energy; renewable & sustainable energy reviews; international journal of hydrogen energy; energy; energy conversion and management</td></tr><tr><td>Terms;</td><td>wind energy potential; algeria; hybrid renewable energy system; wind resource assessment; pakistan</td></tr></table>"	0.7144	0.1851	3	54
1437	1437	"<table><tr><td>Micro-level field;</td><td>1437</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on industrial electronics; ieee transactions on power electronics; ieee energy conversion congress and exposition; international conference on electrical machines and systems icems</td></tr><tr><td>Terms;</td><td>indirect matrix converter; phase pmsm; phase induction machine; predictive torque control</td></tr></table>"	0.8588	0.2193	5	53
18	18	"<table><tr><td>Micro-level field;</td><td>18</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of alzheimers disease; journal of biological chemistry; neurobiology of aging; plos one; journal of neuroscience</td></tr><tr><td>Terms;</td><td>amyloid precursor protein; aggregation; amyloid beta peptide; gamma secretase; amyloid fibril</td></tr></table>"	-0.7595	-0.1782	2	52
268	268	"<table><tr><td>Micro-level field;</td><td>268</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>journal of proteome research; proteomics; analytical chemistry; molecular & cellular proteomics; electrophoresis</td></tr><tr><td>Terms;</td><td>quantitative proteomic; proteomic analysis; dimensional gel electrophoresis; proteome; shotgun proteomic</td></tr></table>"	-0.7215	-0.2332	2	50
350	350	"<table><tr><td>Micro-level field;</td><td>350</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; applied surface science; acs applied materials & interfaces; rsc advances; journal of colloid and interface science</td></tr><tr><td>Terms;</td><td>oil water separation; superhydrophobicity; self cleaning; facile fabrication; corrosion resistance</td></tr></table>"	0.553	-0.4461	3	50
553	553	"<table><tr><td>Micro-level field;</td><td>553</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>circulation; circulation research; plos one; international journal of cardiology; biomaterials</td></tr><tr><td>Terms;</td><td>endothelial progenitor cell; myocardial infarction; arteriogenesis; therapeutic angiogenesis; transmyocardial laser revascularization</td></tr></table>"	-0.8535	-0.1389	2	50
