
id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total  link strength>	weight<No. of pub. (2000-2020)>	score<Avg. pub. year>	weight<absloute no>	weight<relative no>	score<Avg.year.set>
124	124	"vitamin d supplementation; hydroxyvitamin d; vitamin d deficiency; vitamin d binding protein"	"<table><tr><td>Micro-level field:</td><td>124</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of steroid biochemistry and molecular biology; plos one; nutrients; journal of clinical endocrinology & metabolism; american journal of clinical nutrition</td></tr><tr><td>Terms:</td><td>vitamin d supplementation; hydroxyvitamin d; vitamin d deficiency; vitamin d binding protein</td></tr></table>"	-0,8384	-0,1012	2	2533	427796	25095	2012,941	0	0	0
139	139	"peritoneal dialysis patient; peritonitis; peritoneal sclerosis; continuous ambulatory peritoneal dialysis; depression"	"<table><tr><td>Micro-level field:</td><td>139</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>peritoneal dialysis international; nephrology dialysis transplantation; american journal of kidney diseases; kidney international; seminars in dialysis</td></tr><tr><td>Terms:</td><td>peritoneal dialysis patient; peritonitis; peritoneal sclerosis; continuous ambulatory peritoneal dialysis; depression</td></tr></table>"	-0,8808	-0,0469	2	2435	309075	24510	2010,511	0	0	0
155	155	"pulmonary vein isolation; postoperative atrial fibrillation; atrioventricular nodal reentrant tachycardia; cryoballoon ablation; typical atrial flutter"	"<table><tr><td>Micro-level field:</td><td>155</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of cardiovascular electrophysiology; pace-pacing and clinical electrophysiology; europace; heart rhythm; journal of interventional cardiac electrophysiology</td></tr><tr><td>Terms:</td><td>pulmonary vein isolation; postoperative atrial fibrillation; atrioventricular nodal reentrant tachycardia; cryoballoon ablation; typical atrial flutter</td></tr></table>"	-0,9098	0,0071	2	2202	224928	23873	2010,9673	0	0	0
157	157	"pbl; problem; osce; objective structured clinical examination; clinical reasoning"	"<table><tr><td>Micro-level field:</td><td>157</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>medical teacher; academic medicine; medical education; bmc medical education; journal of dental education</td></tr><tr><td>Terms:</td><td>pbl; problem; osce; objective structured clinical examination; clinical reasoning</td></tr></table>"	-0,5574	0,5176	2	2044	177360	23736	2011,6633	0	0	0
158	158	"epidermal growth factor receptor; gefitinib; egfr; crizotinib; resistance"	"<table><tr><td>Micro-level field:</td><td>158</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>lung cancer; journal of thoracic oncology; clinical cancer research; journal of clinical oncology; clinical lung cancer</td></tr><tr><td>Terms:</td><td>epidermal growth factor receptor; gefitinib; egfr; crizotinib; resistance</td></tr></table>"	-0,902	-0,2036	2	2545	679178	23688	2012,6081	1	4,22154677473826E-05	2015
173	173	"avian influenza virus; chicken; hemagglutinin; h5n1; wild bird"	"<table><tr><td>Micro-level field:</td><td>173</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of virology; plos one; vaccine; avian diseases; emerging infectious diseases</td></tr><tr><td>Terms:</td><td>avian influenza virus; chicken; hemagglutinin; h5n1; wild bird</td></tr></table>"	-0,6551	-0,206	2	2795	374848	22986	2012,3803	0	0	0
175	175	"plasmonic waveguide; metal insulator metal waveguide; extraordinary optical transmission; transparency; subwavelength slit"	"<table><tr><td>Micro-level field:</td><td>175</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>optics express; proceedings of spie; applied physics letters; physical review b; optics letters</td></tr><tr><td>Terms:</td><td>plasmonic waveguide; metal insulator metal waveguide; extraordinary optical transmission; transparency; subwavelength slit</td></tr></table>"	0,8834	-0,4152	3	2115	438349	22875	2013,3801	1	4,37158469945355E-05	2010
192	192	"older adult; fall; older person; postural control; fear"	"<table><tr><td>Micro-level field:</td><td>192</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>gait & posture; experimental brain research; journal of biomechanics; plos one; journal of the american geriatrics society</td></tr><tr><td>Terms:</td><td>older adult; fall; older person; postural control; fear</td></tr></table>"	-0,6261	0,2958	2	2512	331315	22324	2012,9692	0	0	0
222	222	"methylcyclopropene; mcp; ethylene; modified atmosphere packaging; shelf life"	"<table><tr><td>Micro-level field:</td><td>222</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>acta horticulturae; postharvest biology and technology; scientia horticulturae; food chemistry; journal of the science of food and agriculture</td></tr><tr><td>Terms:</td><td>methylcyclopropene; mcp; ethylene; modified atmosphere packaging; shelf life</td></tr></table>"	-0,3577	-0,3257	4	2274	283580	21469	2011,066	0	0	0
225	225	"warfarin; direct oral anticoagulant; dabigatran; rivaroxaban; stroke prevention"	"<table><tr><td>Micro-level field:</td><td>225</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of cardiology; thrombosis research; american journal of cardiology; thrombosis and haemostasis; journal of thrombosis and thrombolysis</td></tr><tr><td>Terms:</td><td>warfarin; direct oral anticoagulant; dabigatran; rivaroxaban; stroke prevention</td></tr></table>"	-0,9121	0,0079	2	2022	287240	21445	2013,9683	0	0	0
