id	label	x	y	cluster	weight
1447	1447	0.2587	-0.0035	4	1
1456	1456	0.8809	-0.4513	3	36
1458	1458	-0.7247	-0.2154	2	4
1461	1461	0.5266	-0.6117	3	1
1471	1471	0.7647	-0.5356	3	1
1479	1479	1.0782	0.1372	5	1
1295	1295	0.7192	0.3406	5	22
1302	1302	-0.8711	-0.1344	2	2
1340	1340	-0.9067	0.0022	2	1
1354	1354	0.8065	-0.4719	3	2
1361	1361	-0.3257	-0.3098	4	2
1362	1362	-0.6401	0.198	2	1
1366	1366	-0.6606	-0.2841	2	25
1377	1377	-0.8488	-0.1798	2	1
1380	1380	-0.0795	-0.3664	3	5
1201	1201	-0.638	-0.2085	4	1
1202	1202	-0.358	0.6293	1	2
1209	1209	-0.11	0.7104	1	1
1211	1211	-0.9113	-0.1456	2	1
1240	1240	0.4788	0.0846	3	8
1243	1243	-0.7237	-0.2863	2	1
1250	1250	0.7673	-0.1129	3	1
1256	1256	-0.9006	-0.163	2	1
1257	1257	-0.6364	0.1368	2	1
1264	1264	0.7437	0.0233	3	5
1279	1279	-0.5825	0.4837	2	1
1102	1102	0.5842	0.6269	5	2
1104	1104	0.7166	0.4864	5	1
1118	1118	-0.5733	-0.1791	2	1
1119	1119	0.9203	-0.3629	3	2
1123	1123	0.8091	-0.1003	3	1
1127	1127	-0.8431	-0.2127	2	3
1128	1128	0.5744	-0.558	3	22
1131	1131	-0.9317	-0.0636	2	2
1151	1151	-0.5176	-0.3166	2	1
1158	1158	0.3297	-0.4742	3	1
1167	1167	1.0205	-0.3479	3	1
1173	1173	-0.9054	-0.2271	2	1
1177	1177	-0.521	-0.3604	2	2
1178	1178	-0.1943	-0.1957	4	7
1181	1181	-0.6902	-0.2356	2	1
1185	1185	0.6914	0.1807	3	1
998	998	0.4067	0.0232	4	8
999	999	0.8011	-0.0731	3	1
1016	1016	0.544	0.5529	5	4
1023	1023	0.1172	0.0319	2	2
1040	1040	0.5073	-0.4989	3	7
1055	1055	-0.1657	0.7697	1	2
1078	1078	-0.8653	-0.1417	2	19
889	889	-0.8463	-0.137	2	1
908	908	0.8372	0.2851	5	1
912	912	0.9906	0.0148	5	1
915	915	-0.1108	-0.1132	4	2
917	917	-0.3702	0.6864	1	15
920	920	0.7745	-0.0274	3	1
921	921	-0.7846	0.0547	2	1
923	923	-0.7293	0.2563	2	17
939	939	0.3918	-0.4515	3	3
944	944	-0.7265	0.028	2	1
952	952	-0.6244	-0.2302	4	12
954	954	-0.8582	-0.0003	2	1
956	956	-0.8583	-0.1173	2	1
958	958	-0.0078	0.7722	1	1
959	959	0.4608	-0.5284	3	1
963	963	-0.8468	-0.1651	2	3
967	967	-0.793	-0.1308	2	29
983	983	0.7632	0.5457	5	2
796	796	-0.3196	-0.3064	4	1
814	814	-0.5196	0.5567	2	9
815	815	-0.8611	-0.2117	2	1
819	819	1.238	-0.259	3	14
825	825	-0.0195	0.7725	1	1
844	844	-0.8361	0.0318	2	1
855	855	-0.6974	-0.1729	2	65
864	864	-0.7445	-0.1908	2	1
865	865	-0.7261	-0.2572	2	1
868	868	0.803	-0.2639	3	2
876	876	0.727	0.4849	5	2
878	878	-0.9102	-0.0011	2	3
707	707	0.6471	0.4528	5	2
708	708	-0.7599	-0.2864	2	1
709	709	0.0219	-0.7221	3	6
710	710	0.6134	-0.4924	3	2
712	712	-0.4367	-0.3601	2	2
719	719	-0.8456	-0.1236	2	1
726	726	-0.0519	-0.2563	4	4
728	728	-1.0097	-0.1652	2	66
729	729	0.7793	-0.5082	3	1
