"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT11" 3.10684210526316 "0.325869565217391" 141 0.30975423964984 1951744.34 33717 278316.7 0.00126533778394373
"2" "AT12" 1.71335100896257 "2.295" 268 0.30975423964984 7034566.24 33717 1566220.4 0.00126533778394373
"3" "AT13" 2.63137212570691 "19.5297670807453" 24343 0.30975423964984 174619621.56 33717 1617448.9 0.00126533778394373
"4" "AT21" 2.07206757597794 "1.51782608695652" 146 0.30975423964984 3559697.7 33717 559362.2 0.00126533778394373
"5" "AT22" 2.50244065661809 "6.9705900621118" 62707 0.30975423964984 178959696.5 33717 1194358.4 0.00126533778394373
"6" "AT31" 2.47825520061041 "1.35149068322981" 169533 0.30975423964984 143317699.2 33717 1390404.9 0.00126533778394373
"7" "AT32" 1.76050733039275 "1.03788819875776" 101 0.30975423964984 4129899.45 33717 520751 0.00126533778394373
"8" "AT33" 2.0916296254465 "8.13192546583851" 1835 0.30975423964984 34450760.8 33717 686029.7 0.00126533778394373
"9" "AT34" 2.26373839009288 "0.331133540372671" 424 0.30975423964984 1949340.05 33717 358232.9 0.00126533778394373
"10" "BE10" 2.43383048578231 "11.7852329192547" 9559 0.392432887161502 85490784 31791 1006783.8 8.37769213914702e-05
"11" "BE21" 2.35135653425783 "11.8679192546584" 15981 0.392432887161502 102220185.21 31791 1678480.7 8.37769213914702e-05
"12" "BE22" 2.43679864087653 "2.72928571428571" 44863 0.392432887161502 57159659.46 31791 809758.2 8.37769213914702e-05
"13" "BE23" 2.35331977536317 "12.7155279503106" 10298 0.392432887161502 82116846.63 31791 1383247.7 8.37769213914702e-05
"14" "BE24" 2.71048817779226 "17.6314285714286" 96498 0.392432887161502 301129850.5 31791 1037912.7 8.37769213914702e-05
"15" "BE25" 1.73136693477881 "0.799860248447205" 308 0.392432887161502 2491463.7 31791 1139284.6 8.37769213914702e-05
"16" "BE31" 1.82871785338633 "0.809083850931677" 54 0.392432887161502 2761620.7 31791 362569.2 8.37769213914702e-05
"17" "BE32" 2.08881311444915 "5.50801242236025" 27578 0.392432887161502 136589820.44 31791 1288096.9 8.37769213914702e-05
"18" "BE33" 1.93981644464644 "9.86849378881988" 2089 0.392432887161502 35786157 31791 1035455.3 8.37769213914702e-05
"19" "BE34" 4.99555555555555 "0.156242236024845" 1 0.392432887161502 0 31791 255915.4 8.37769213914702e-05
"20" "BE35" 1.90557347444705 "8.13745341614907" 9720 0.392432887161502 100890655.7 31791 455115.8 8.37769213914702e-05
"21" "BG32" 1.32467708672528 "0.328586956521739" 133 0.51357458651207 3893228.36 4085 954289.1 1.82031655304858e-05
"22" "BG33" 1.36317657356569 "0.475062111801242" 38 0.51357458651207 3603030.86 4085 999804.6 1.82031655304858e-05
"23" "BG34" 2.50603281597668 "0.657562111801242" 72 0.51357458651207 832689.99 4085 1140873.9 1.82031655304858e-05
"24" "BG41" 1.99571159040314 "12.8845962732919" 8644 0.51357458651207 80112844 4085 2125489.6 1.82031655304858e-05
"25" "BG42" 1.31900811364691 "0.830419254658385" 220 0.51357458651207 1653369.78 4085 1571450.5 1.82031655304858e-05
"26" "CY00" 2.03695147563706 "4.6380900621118" 6370 0.998796563919215 22628732.8 22532 733845.7 0.000828729281767956
"27" "CZ01" 2.39229214383251 "19.5730745341615" 26345 0.672871167061137 183105835.64 13340 1174636.8 0.00345963683410509
"28" "CZ02" 2.06594361530181 "4.54656832298137" 1074 0.672871167061137 24414195.39 13340 1152983.2 0.00345963683410509
"29" "CZ03" 1.83776455342955 "3.45121118012422" 1229 0.672871167061137 17567953.92 13340 1180132.8 0.00345963683410509
"30" "CZ04" 1.50300090899697 "1.00860248447205" 157 0.672871167061137 4676803.02 13340 1125207.5 0.00345963683410509
"31" "CZ05" 2.19359196275035 "5.28824534161491" 2126 0.672871167061137 25294077.93 13340 1486485.5 0.00345963683410509
"32" "CZ06" 2.25579215193841 "9.63670807453416" 4454 0.672871167061137 39592626.66 13340 1648731 0.00345963683410509
"33" "CZ07" 1.7283011327761 "3.68479813664596" 1235 0.672871167061137 13192877 13340 1232289.5 0.00345963683410509
"34" "CZ08" 1.57859149571326 "0.827065217391304" 30 0.672871167061137 2482843.14 13340 1254051 0.00345963683410509
"35" "DE11" 2.82932576544176 "17.8872826086957" 70764 0.617598956545392 313014845.1 30162 3982576.4 0.0230539221312863
"36" "DE12" 2.79786041127137 "19.4990217391304" 58228 0.617598956545392 253124887.38 30162 2717517.6 0.0230539221312863
"37" "DE13" 2.69813687240677 "11.5321118012422" 82742 0.617598956545392 210703063.41 30162 2173015.7 0.0230539221312863
"38" "DE14" 2.2926563365559 "13.1910403726708" 39787 0.617598956545392 181996890.13 30162 1791516.6 0.0230539221312863
"39" "DE21" 2.99813813246939 "21.2978416149068" 99911 0.617598956545392 399678119.7 30162 4199746 0.0230539221312863
"40" "DE22" 1.88435440948664 "1.82947204968944" 85 0.617598956545392 2181605.92 30162 1189076 0.0230539221312863
"41" "DE23" 2.05690672089332 "9.95903726708075" 10618 0.617598956545392 81746526.4 30162 1085615.4 0.0230539221312863
"42" "DE24" 2.115230013969 "7.42204968944099" 21170 0.617598956545392 77774997.9 30162 1103734 0.0230539221312863
"43" "DE25" 2.50956723083995 "8.76712732919255" 78484 0.617598956545392 217771801.13 30162 1704157.2 0.0230539221312863
"44" "DE26" 2.48532327063885 "8.05821428571429" 47667 0.617598956545392 146011579.82 30162 1338599.6 0.0230539221312863
"45" "DE27" 2.17352755400905 "7.91799689440994" 3872 0.617598956545392 33509652.02 30162 1776172.8 0.0230539221312863
"46" "DE30" 2.62456080697555 "22.7405279503106" 89875 0.617598956545392 475096348.04 30162 3397315.6 0.0230539221312863
"47" "DE40" 2.28187521083997 "13.2518944099379" 44385 0.617598956545392 218283979.74 30162 2568629.8 0.0230539221312863
"48" "DE50" 2.32895714073387 "8.81321428571429" 14578 0.617598956545392 87395425.92 30162 662377.5 0.0230539221312863
"49" "DE60" 2.44878709449622 "12.4859627329193" 28466 0.617598956545392 181099436.85 30162 1738474.7 0.0230539221312863
"50" "DE71" 2.63084549419817 "17.0836801242236" 29266 0.617598956545392 203050652.2 30162 3761959.3 0.0230539221312863
"51" "DE72" 2.39600633764641 "10.890201863354" 24308 0.617598956545392 143827890.66 30162 1060849.1 0.0230539221312863
"52" "DE73" 2.15703849576725 "5.54399068322981" 7492 0.617598956545392 25664342.22 30162 1255386.9 0.0230539221312863
"53" "DE80" 2.24590937664645 "10.7212888198758" 2967 0.617598956545392 37599002.46 30162 1726646.3 0.0230539221312863
"54" "DE91" 2.32241012647792 "18.2522826086957" 21223 0.617598956545392 144140707.9 30162 1654116 0.0230539221312863
"55" "DE92" 2.44459225204841 "13.6929037267081" 13459 0.617598956545392 83992097.28 30162 2160682.3 0.0230539221312863
"56" "DE93" 5.28 "0.154891304347826" 6 0.617598956545392 279396.53 30162 1691500.1 0.0230539221312863
"57" "DE94" 2.09536854034254 "5.56127329192547" 24850 0.617598956545392 69068067.74 30162 2458874 0.0230539221312863
"58" "DEA1" 2.82044278854319 "14.2662111801242" 63641 0.617598956545392 249275935.44 30162 5234948.7 0.0230539221312863
"59" "DEA2" 2.63300490869334 "22.3113354037267" 85988 0.617598956545392 405317237.34 30162 4344138.4 0.0230539221312863
"60" "DEA3" 2.22429573281607 "12.9284627329193" 24136 0.617598956545392 92886128.01 30162 2617891.2 0.0230539221312863
"61" "DEA4" 2.35940424274934 "12.3810248447205" 8616 0.617598956545392 104155664.52 30162 2062624.7 0.0230539221312863
"62" "DEA5" 2.29718661185746 "18.9484472049689" 14343 0.617598956545392 145286003.64 30162 3771365.5 0.0230539221312863
"63" "DEB1" 2.45670789350192 "2.00885093167702" 188 0.617598956545392 4361336.32 30162 1518633.9 0.0230539221312863
"64" "DEB2" 1.38573353566773 "0.351878881987578" 30 0.617598956545392 834240.06 30162 513808.6 0.0230539221312863
"65" "DEB3" 2.48158839193902 "11.513602484472" 101126 0.617598956545392 359176674.56 30162 2015318.2 0.0230539221312863
"66" "DEC0" 2.29733131229647 "11.5528260869565" 7960 0.617598956545392 52500953.16 30162 1054983.7 0.0230539221312863
"67" "DED2" 2.73689306732701 "13.0062577639752" 76997 0.617598956545392 305411621.94 30162 1676259 0.0230539221312863
"68" "DEE0" 2.40133296065479 "11.1405124223602" 39808 0.617598956545392 158434719.04 30162 2511687.4 0.0230539221312863
"69" "DEF0" 2.64403264526969 "14.091847826087" 9108 0.617598956545392 72204905.76 30162 2817856 0.0230539221312863
"70" "DEG0" 2.74116271694961 "11.3162888198758" 65386 0.617598956545392 198763719.84 30162 2361489.8 0.0230539221312863
"71" "EE00" 1.9752209053912 "5.06257763975155" 9074 0.986660488488556 54765102 10393 1364557 0
"72" "ES11" 2.14599037974427 "11.3392546583851" 11879 0.580345886078128 48053899.32 23088 2722815.5 0.0110419358104477
"73" "ES12" 1.97932246572571 "8.91046583850932" 2013 0.580345886078128 19695110.31 23088 1065954.5 0.0110419358104477
"74" "ES13" 2.40878271834915 "2.34291925465839" 945 0.580345886078128 8438750.25 23088 553944.9 0.0110419358104477
"75" "ES21" 2.35581205762581 "10.7100621118012" 6511 0.580345886078128 36517077.45 23088 2116519.2 0.0110419358104477
"76" "ES22" 2.22498526997556 "5.03170807453416" 3023 0.580345886078128 13922752.85 23088 582546.6 0.0110419358104477
"77" "ES23" 1.43339770708038 "1.13913043478261" 547 0.580345886078128 11776401.4 23088 294766.9 0.0110419358104477
"78" "ES24" 2.04628609509074 "11.4408074534161" 9708 0.580345886078128 101474921.7 23088 1256655.5 0.0110419358104477
"79" "ES30" 2.80684294797514 "20.6677173913043" 116918 0.580345886078128 403266346.7 23088 5804118.4 0.0110419358104477
"80" "ES41" 2.10840526812855 "8.95094720496894" 9158 0.580345886078128 63878695.4 23088 2490844.3 0.0110419358104477
"81" "ES42" 1.93297690466353 "4.3369099378882" 9602 0.580345886078128 33417795.75 23088 1874956.6 0.0110419358104477
"82" "ES43" 1.7737251985631 "2.94878881987578" 570 0.580345886078128 6150995.34 23088 1071280.9 0.0110419358104477
"83" "ES51" 2.38495170874865 "21.9024534161491" 113513 0.580345886078128 332067809.64 23088 6801968 0.0110419358104477
"84" "ES52" 2.54886021090736 "15.8045962732919" 52713 0.580345886078128 176087040.36 23088 4515448.6 0.0110419358104477
"85" "ES53" 1.90533436535351 "2.9244099378882" 610 0.580345886078128 13394985 23088 931786.3 0.0110419358104477
"86" "ES61" 2.33307829842555 "19.5494875776398" 20293 0.580345886078128 114719213.84 23088 7700245.1 0.0110419358104477
"87" "ES62" 1.65096620497915 "6.55139751552795" 3526 0.580345886078128 24104115.84 23088 1299095.7 0.0110419358104477
"88" "ES70" 2.04872686305233 "6.50871118012422" 3096 0.580345886078128 28988797.8 23088 1831713.2 0.0110419358104477
"89" "FI19" 2.40648807224783 "10.3852329192547" 12763 0.403302501287675 72276907.23 33755 1329872.2 0
"90" "FI1B" 2.88984825111766 "16.595698757764" 37770 0.403302501287675 185244447.44 33755 1437640.9 0
