"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT13" 0.414021164021164 "13.69125" 16 0.30975423964984 13952.52 33717 1617448.9 0.657197389171685
"2" "AT22" 0.205146161028514 "14.110625" 23 0.30975423964984 23310.9 33717 1194358.4 0.657197389171685
"3" "AT33" 0.138321995464852 "5.1071875" 8 0.30975423964984 5043.14 33717 686029.7 0.657197389171685
"4" "BE10" 0.125486688414185 "9.31125" 4 0.392432887161502 0 31791 1006783.8 0.0913683993452511
"5" "BE23" 0.139908595016954 "8.1440625" 111 0.392432887161502 0 31791 1383247.7 0.0913683993452511
"6" "BE24" 0.280423280423281 "6.9246875" 64 0.392432887161502 14402.43 31791 1037912.7 0.0913683993452511
"7" "CZ01" 0.198979591836735 "7.3509375" 2 0.672871167061137 0 13340 1174636.8 0.136648262778219
"8" "DE11" 0.26581627327896 "20.555625" 53 0.617598956545392 41655 30162 3982576.4 0.0840413646058959
"9" "DE12" 0.375 "3.971875" 5 0.617598956545392 0 30162 2717517.6 0.0840413646058959
"10" "DE13" 0.139408477095045 "12.66" 74 0.617598956545392 74609.26 30162 2173015.7 0.0840413646058959
"11" "DE14" 0.119791666666667 "4.840625" 4 0.617598956545392 10008.28 30162 1791516.6 0.0840413646058959
"12" "DE21" 0.148369141471022 "25.5809375" 28 0.617598956545392 12412.26 30162 4199746 0.0840413646058959
"13" "DE25" 0.8125 "2.1915625" 6 0.617598956545392 15414.9 30162 1704157.2 0.0840413646058959
"14" "DE26" 0.141868512110726 "3.03625" 76 0.617598956545392 10081.6 30162 1338599.6 0.0840413646058959
"15" "DE30" 0.211236933797909 "13.72" 26 0.617598956545392 0 30162 3397315.6 0.0840413646058959
"16" "DE40" 0.138321995464852 "5.1071875" 2 0.617598956545392 0 30162 2568629.8 0.0840413646058959
"17" "DE71" 0.138321995464852 "5.1071875" 6 0.617598956545392 10086.28 30162 3761959.3 0.0840413646058959
"18" "DE72" 0.119791666666667 "4.840625" 2 0.617598956545392 5004.14 30162 1060849.1 0.0840413646058959
"19" "DEA1" 0.178030303030303 "8.406875" 20 0.617598956545392 4849.61 30162 5234948.7 0.0840413646058959
"20" "DEA2" 0.119791666666667 "4.840625" 3 0.617598956545392 0 30162 4344138.4 0.0840413646058959
"21" "DEB3" 0.5625 "1.415625" 3 0.617598956545392 0 30162 2015318.2 0.0840413646058959
"22" "DEC0" 0.150357394543441 "7.8190625" 14 0.617598956545392 9270.88 30162 1054983.7 0.0840413646058959
"23" "DED2" 0.267857142857143 "7.61125" 4 0.617598956545392 5000.8 30162 1676259 0.0840413646058959
"24" "DEE0" 0.138321995464852 "5.1071875" 8 0.617598956545392 5043.14 30162 2511687.4 0.0840413646058959
"25" "DEF0" 0.277777777777778 "3.6265625" 3 0.617598956545392 10101.64 30162 2817856 0.0840413646058959
"26" "DEG0" 0.265046296296297 "11.526875" 8 0.617598956545392 4754.13 30162 2361489.8 0.0840413646058959
"27" "EE00" 0.436274509803921 "5.689375" 9 0.986660488488556 4867.18 10393 1364557 0.001641715201501
"28" "ES11" 0.173998659292777 "14.14875" 16 0.580345886078128 4585.14 23088 2722815.5 0.265943828143923
"29" "ES12" 0.444444444444444 "5.1225" 1 0.580345886078128 0 23088 1065954.5 0.265943828143923
"30" "ES21" 0.218853695324283 "6.8428125" 27 0.580345886078128 4790.79 23088 2116519.2 0.265943828143923
"31" "ES22" 0.244897959183674 "4.081875" 66 0.580345886078128 0 23088 582546.6 0.265943828143923
"32" "ES30" 0.201602519948711 "15.6846875" 146 0.580345886078128 4399.7 23088 5804118.4 0.265943828143923
"33" "ES51" 0.225585149313963 "16.1928125" 204 0.580345886078128 35340.16 23088 6801968 0.265943828143923
"34" "ES52" 0.22355581576893 "17.3865625" 11 0.580345886078128 4396.48 23088 4515448.6 0.265943828143923
"35" "ES61" 0.297142857142857 "8.9190625" 11 0.580345886078128 0 23088 7700245.1 0.265943828143923
"36" "ES62" 0.244897959183674 "4.081875" 4 0.580345886078128 0 23088 1299095.7 0.265943828143923
"37" "ES70" 0.69047619047619 "6.783125" 80 0.580345886078128 0 23088 1831713.2 0.265943828143923
"38" "FI19" 0.141868512110726 "3.03625" 57 0.403302501287675 5040.8 33755 1329872.2 0.20298882781909
"39" "FI1B" 0.192959001782531 "7.6040625" 19 0.403302501287675 14206.35 33755 1437640.9 0.20298882781909
"40" "FI1D" 0.141868512110726 "3.03625" 114 0.403302501287675 5040.8 33755 1302275.6 0.20298882781909
"41" "FR10" 0.311321826027708 "13.5434375" 744 0.0947575660558704 88280.84 30125 11388964.9 0.223401668073418
"42" "FRB0" 0.198979591836735 "7.3509375" 6 0.0947575660558704 5100.8 30125 2498735.4 0.223401668073418
"43" "FRD2" 0.198979591836735 "7.3509375" 3 0.0947575660558704 10201.6 30125 1806085.2 0.223401668073418
"44" "FRE1" 0.24903474903475 "14.99875" 66 0.0947575660558704 14192.67 30125 4013737.9 0.223401668073418
"45" "FRF1" 0.132658102766798 "8.8184375" 20 0.0947575660558704 18755.08 30125 1796509 0.223401668073418
"46" "FRG0" 0.107988165680473 "4.87125" 84 0.0947575660558704 29919.06 30125 3397039.7 0.223401668073418
"47" "FRH0" 0.147058823529412 "7.4759375" 123 0.0947575660558704 9663.46 30125 3051619.9 0.223401668073418
"48" "FRI1" 0.5625 "1.3834375" 20 0.0947575660558704 15452.4 30125 3071040.4 0.223401668073418
"49" "FRI3" 0.16766061263215 "10.386875" 136 0.0947575660558704 14672.4 30125 1705995.6 0.223401668073418
"50" "FRJ1" 0.138321995464852 "5.1071875" 6 0.0947575660558704 5043.14 30125 2473425.1 0.223401668073418
"51" "FRJ2" 0.203601953601954 "13.8421875" 25 0.0947575660558704 23965.7 30125 2724267.5 0.223401668073418
"52" "FRK2" 0.212543372786781 "15.95125" 346 0.0947575660558704 35509.6 30125 5932409.7 0.223401668073418
"53" "FRY3" 0.5625 "1.3834375" 20 0.0947575660558704 15452.4 30125 194715.5 0.223401668073418
"54" "HU33" 0.119791666666667 "4.840625" 30 0.58502011323681 65053.82 9438 1356885.2 0.00594038147268975
"55" "ITC1" 0.187728937728938 "15.51125" 38 0.795818095200157 8502.28 27941 4265591.9 0.25112319410974
"56" "ITC3" 0.28125 "2.55625" 8 0.795818095200157 0 27941 1574390.5 0.25112319410974
"57" "ITC4" 0.147952211187506 "10.8559375" 122 0.795818095200157 13276.32 27941 9226627.9 0.25112319410974
"58" "ITF3" 0.139908595016954 "8.1440625" 127 0.795818095200157 19332.56 27941 5726789 0.25112319410974
"59" "ITF4" 0.183991683991684 "9.708125" 6 0.795818095200157 0 27941 4030893.8 0.25112319410974
"60" "ITF5" 0.154195011337869 "3.84125" 8 0.795818095200157 4950.81 27941 592342.2 0.25112319410974
"61" "ITF6" 0.204192021636241 "8.06625" 15 0.795818095200157 0 27941 1993356.9 0.25112319410974
"62" "ITG1" 0.125728438228438 "8.849375" 5 0.795818095200157 0 27941 4974225.2 0.25112319410974
"63" "ITH4" 0.152249134948097 "4.44" 5 0.795818095200157 5041.73 27941 1196793.1 0.25112319410974
"64" "ITI2" 0.154195011337869 "3.84125" 32 0.795818095200157 0 27941 844167.5 0.25112319410974
"65" "ITI4" 0.218555900621119 "11.8959375" 42 0.795818095200157 27750.84 27941 5214042.5 0.25112319410974
"66" "LU00" 0.146694214876033 "3.9778125" 32 0.696334265263384 29612.58 76305 460371.2 0.743116752285118
"67" "NL22" 0.259146341463414 "12.936875" 29 0.883675925447269 46905.1 36884 1963176 0.00197330176050517
"68" "NL31" 0.172453703703704 "8.466875" 4 0.883675925447269 9608.32 36884 1163440 0.00197330176050517
"69" "NL32" 0.262990040262767 "14.385" 25 0.883675925447269 34574.56 36884 2586418 0.00197330176050517
"70" "NL33" 0.190854515854516 "19.4715625" 67 0.883675925447269 31660.16 36884 3444949.4 0.00197330176050517
"71" "NL41" 0.301587301587302 "6.7590625" 30 0.883675925447269 14552.43 36884 2403516.9 0.00197330176050517
"72" "NO06" 0.277097219720171 "17.193125" 160 0.00703646223484651 30248.05 65530 401320.2 0.983051638473247
"73" "PT11" 0.246606334841629 "8.15875" 46 0.682219843010679 14672.37 16652 3703737.4 0.401866515837104
"74" "PT15" 0.28125 "2.55625" 4 0.682219843010679 5125.8 16652 414652.8 0.401866515837104
"75" "PT16" 0.107988165680473 "4.87125" 38 0.682219843010679 19946.04 16652 2347379.9 0.401866515837104
"76" "PT17" 0.148755656108597 "7.4275" 260 0.682219843010679 58338.12 16652 2718180.5 0.401866515837104
"77" "SE11" 0.141868512110726 "3.03625" 19 0.0345515973294629 0 37233 1878853.6 0.500143391483156
"78" "SE12" 0.158508158508158 "12.415625" 97 0.0345515973294629 18066.44 37233 1513024.5 0.500143391483156
"79" "SE22" 0.240573152337858 "7.15625" 9 0.0345515973294629 4821.73 37233 1312399 0.500143391483156
"80" "SE23" 0.107988165680473 "4.87125" 14 0.0345515973294629 24932.55 37233 1803003.8 0.500143391483156
"81" "SE33" 1 "1.52875" 8 0.0345515973294629 10301.6 37233 509792.8 0.500143391483156
"82" "SK01" 0.28125 "2.55625" 8 0.283763200059832 0 9971 597055 0.337037696808584
