label	sublabel	description	x	y	cluster	weight
"oscillatory integral; unit circle; real line; zero; sobolev orthogonal polynomial"	118	"<table><tr><td>Micro-level field;</td><td>1735</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>journal of approximation theory; journal of computational and applied mathematics; journal of mathematical analysis and applications; applied mathematics and computation; numerical algorithms</td></tr><tr><td>Terms;</td><td>oscillatory integral; unit circle; real line; zero; sobolev orthogonal polynomial</td></tr></table>"	1.0984	0.2089	5	118
"synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator"	108	"<table><tr><td>Micro-level field;</td><td>2184</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>aiaa journal; journal of physics d-applied physics; ieee transactions on plasma science; combustion and flame; technical physics letters</td></tr><tr><td>Terms;</td><td>synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator</td></tr></table>"	0.7668	-0.2252	3	108
"carbonation; carbon capture; saline aquifer; co2 leakage; geological storage"	106	"<table><tr><td>Micro-level field;</td><td>1366</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>energy procedia; international journal of greenhouse gas control; greenhouse gases-science and technology; environmental science & technology; environmental earth sciences</td></tr><tr><td>Terms;</td><td>carbonation; carbon capture; saline aquifer; co2 leakage; geological storage</td></tr></table>"	0.5312	-0.2024	3	106
"triboelectric nanogenerator; contact electrification; bed; electrostatic separation; toner"	102	"<table><tr><td>Micro-level field;</td><td>2110</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>nano energy; journal of electrostatics; acs nano; acs applied materials & interfaces; advanced functional materials</td></tr><tr><td>Terms;</td><td>triboelectric nanogenerator; contact electrification; bed; electrostatic separation; toner</td></tr></table>"	0.6903	-0.4514	3	102
"induction generator; variable speed wind turbine; dfig; wind turbine; wind energy conversion system"	98	"<table><tr><td>Micro-level field;</td><td>639</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on energy conversion; ieee industrial electronics society; iet renewable power generation; renewable energy</td></tr><tr><td>Terms;</td><td>induction generator; variable speed wind turbine; dfig; wind turbine; wind energy conversion system</td></tr></table>"	0.8731	0.234	5	98
"wind speed; wind energy potential; wind resource assessment; wind characteristic; hydropower"	88	"<table><tr><td>Micro-level field;</td><td>2308</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable & sustainable energy reviews; renewable energy; energy conversion and management; energy policy; energy procedia</td></tr><tr><td>Terms;</td><td>wind speed; wind energy potential; wind resource assessment; wind characteristic; hydropower</td></tr></table>"	0.5821	0.172	3	88
"cavitation; centrifugal pump; pump turbine; francis turbine; cavitation erosion resistance"	83	"<table><tr><td>Micro-level field;</td><td>1673</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of fluids engineering-transactions of the asme; iop conference series-earth and environmental science; ocean engineering; journal of hydrodynamics; journal of physics conference series</td></tr><tr><td>Terms;</td><td>cavitation; centrifugal pump; pump turbine; francis turbine; cavitation erosion resistance</td></tr></table>"	0.7579	-0.1526	3	83
"liquid liquid interface; lead; electrochemical microscopy; bismuth film electrode; ion transfer"	59	"<table><tr><td>Micro-level field;</td><td>804</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of electroanalytical chemistry; electroanalysis; analytical chemistry; electrochimica acta; electrochemistry communications</td></tr><tr><td>Terms;</td><td>liquid liquid interface; lead; electrochemical microscopy; bismuth film electrode; ion transfer</td></tr></table>"	0.2875	-0.5225	3	59
"phytochrome; phototropin; photolyase; flavin; lov2 domain"	55	"<table><tr><td>Micro-level field;</td><td>2307</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources;</td><td>proceedings of the national academy of sciences of the united states of america; plant physiology; biochemistry; plant cell; journal of biological chemistry</td></tr><tr><td>Terms;</td><td>phytochrome; phototropin; photolyase; flavin; lov2 domain</td></tr></table>"	-0.3212	-0.3219	2	55
"dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation"	46	"<table><tr><td>Micro-level field;</td><td>530</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation</td></tr></table>"	0.8601	0.2445	5	46
"home energy management system; residential demand response; smart home; electric spring; smart grid communication"	44	"<table><tr><td>Micro-level field;</td><td>662</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; ieee power and energy society general meeting pesgm; applied energy; energies; ieee pes innovative smart grid technologies conference europe</td></tr><tr><td>Terms;</td><td>home energy management system; residential demand response; smart home; electric spring; smart grid communication</td></tr></table>"	0.7846	0.3396	5	44
"extremum; odor source localization; chemical plume; adaptive extremum; source"	43	"<table><tr><td>Micro-level field;</td><td>3204</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee conference on decision and control; proceedings of the american control conference; automatica; ifac papersonline; chinese control conference</td></tr><tr><td>Terms;</td><td>extremum; odor source localization; chemical plume; adaptive extremum; source</td></tr></table>"	0.7941	0.317	5	43
"humic acid; dissolved organic matter; fluorescence spectroscopy; humic substance; dom"	39	"<table><tr><td>Micro-level field;</td><td>944</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>environmental science & technology; limnology and oceanography; science of the total environment; journal of geophysical research-biogeosciences; chemosphere</td></tr><tr><td>Terms;</td><td>humic acid; dissolved organic matter; fluorescence spectroscopy; humic substance; dom</td></tr></table>"	0.0812	-0.1873	4	39
"automatic generation control; load frequency control; agc; hydro turbine; lfc"	35	"<table><tr><td>Micro-level field;</td><td>2904</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of electrical power & energy systems; ieee transactions on power systems; iet generation transmission & distribution; electric power components and systems; energies</td></tr><tr><td>Terms;</td><td>automatic generation control; load frequency control; agc; hydro turbine; lfc</td></tr></table>"	0.8533	0.2606	5	35
"cirrus cloud; light scattering; mixed phase cloud; aerosol indirect effect; marine stratocumulus"	30	"<table><tr><td>Micro-level field;</td><td>748</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of geophysical research-atmospheres; journal of the atmospheric sciences; atmospheric chemistry and physics; proceedings of spie; geophysical research letters</td></tr><tr><td>Terms;</td><td>cirrus cloud; light scattering; mixed phase cloud; aerosol indirect effect; marine stratocumulus</td></tr></table>"	0.3612	-0.0114	4	30
"surface modification; adhesion; plasma polymerization; atmospheric pressure plasma jet; poly"	12	"<table><tr><td>Micro-level field;</td><td>534</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>plasma processes and polymers; ieee transactions on plasma science; journal of physics d-applied physics; surface & coatings technology; plasma sources science & technology</td></tr><tr><td>Terms;</td><td>surface modification; adhesion; plasma polymerization; atmospheric pressure plasma jet; poly</td></tr></table>"	0.7051	-0.4133	3	12
"power system stabilizer; upfc; unified power flow controller; multi machine power system; tcsc"	9	"<table><tr><td>Micro-level field;</td><td>278</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; electric power systems research; iet generation transmission & distribution</td></tr><tr><td>Terms;</td><td>power system stabilizer; upfc; unified power flow controller; multi machine power system; tcsc</td></tr></table>"	0.8571	0.2579	5	9
"reactive magnetron; tin coating; high power impulse magnetron; corrosion resistance; tribological property"	4	"<table><tr><td>Micro-level field;</td><td>316</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>surface & coatings technology; thin solid films; applied surface science; journal of vacuum science & technology a; vacuum</td></tr><tr><td>Terms;</td><td>reactive magnetron; tin coating; high power impulse magnetron; corrosion resistance; tribological property</td></tr></table>"	0.7995	-0.4196	3	4
"autonomous underwater vehicle; auv; vehicle; autonomous; underwater glider"	3	"<table><tr><td>Micro-level field;</td><td>1435</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>oceans-ieee; ocean engineering; chinese control conference; ieee international conference on robotics and automation icra; ieee journal of oceanic engineering</td></tr><tr><td>Terms;</td><td>autonomous underwater vehicle; auv; vehicle; autonomous; underwater glider</td></tr></table>"	0.7902	0.3087	5	3
"foam; foam fractionation; emulsion; dimensional foam; aqueous foam"	2	"<table><tr><td>Micro-level field;</td><td>2580</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>colloids and surfaces a-physicochemical and engineering aspects; materials science forum; computational materials science; acta materialia; physical review e</td></tr><tr><td>Terms;</td><td>foam; foam fractionation; emulsion; dimensional foam; aqueous foam</td></tr></table>"	0.7278	-0.371	3	2
"weld pool; arc welding; residual stress measurement; welding residual stress; distortion"	2	"<table><tr><td>Micro-level field;</td><td>590</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of advanced manufacturing technology; science and technology of welding and joining; journal of materials processing technology; welding journal; advanced materials research</td></tr><tr><td>Terms;</td><td>weld pool; arc welding; residual stress measurement; welding residual stress; distortion</td></tr></table>"	0.8092	-0.3652	3	2
