label	sublabel	description	x	y	cluster	weight
"czochralski silicon; oxygen precipitation; dislocation; vacancy; screen"	99284	"<table><tr><td>Micro-level field;</td><td>252</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of applied physics; ieee photovoltaic specialists conference; energy procedia; solar energy materials and solar cells; applied physics letters</td></tr><tr><td>Terms;</td><td>czochralski silicon; oxygen precipitation; dislocation; vacancy; screen</td></tr></table>"	0.8114	-0.4677	3	99284
"mos2; black phosphorus; phosphorene; monolayer mos2; transition metal dichalcogenide"	89356	"<table><tr><td>Micro-level field;</td><td>352</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; nano letters; acs nano; nanoscale; applied physics letters</td></tr><tr><td>Terms;</td><td>mos2; black phosphorus; phosphorene; monolayer mos2; transition metal dichalcogenide</td></tr></table>"	0.7276	-0.5109	3	89356
"electrochemical cell; terpyridine; polypyridyl complex; arylazo; bpy"	88810	"<table><tr><td>Micro-level field;</td><td>734</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>inorganic chemistry; dalton transactions; inorganica chimica acta; polyhedron; european journal of inorganic chemistry</td></tr><tr><td>Terms;</td><td>electrochemical cell; terpyridine; polypyridyl complex; arylazo; bpy</td></tr></table>"	0.2949	-0.652	3	88810
"field emission; chemical vapor deposition; catalyst; carbon nanotube field effect transistor; growth"	82636	"<table><tr><td>Micro-level field;</td><td>28</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; applied physics letters; physical review b; nanotechnology; aip conference proceedings</td></tr><tr><td>Terms;</td><td>field emission; chemical vapor deposition; catalyst; carbon nanotube field effect transistor; growth</td></tr></table>"	0.6898	-0.4795	3	82636
"thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts"	67292	"<table><tr><td>Micro-level field;</td><td>1450</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; ieee transactions on electron devices; japanese journal of applied physics; thin solid films</td></tr><tr><td>Terms;</td><td>thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts</td></tr></table>"	0.7406	-0.5168	3	67292
"organic electrochemical transistor; electrochromic polymer; thermoelectric property; pedotpss film"	60582	"<table><tr><td>Micro-level field;</td><td>1854</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>synthetic metals; electrochimica acta; acs applied materials & interfaces; organic electronics; rsc advances</td></tr><tr><td>Terms;</td><td>organic electrochemical transistor; electrochromic polymer; thermoelectric property; pedotpss film</td></tr></table>"	0.5497	-0.5658	3	60582
"growth; algan gan; gan; molecular beam epitaxy; inn"	55616	"<table><tr><td>Micro-level field;</td><td>6</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; journal of crystal growth; journal of applied physics; physica status solidi c-current topics in solid state physics; japanese journal of applied physics</td></tr><tr><td>Terms;</td><td>growth; algan gan; gan; molecular beam epitaxy; inn</td></tr></table>"	0.8427	-0.4491	3	55616
"perylene; perylene bisimide; discotic liquid crystal; columnar mesophase; dicarboximide"	51900	"<table><tr><td>Micro-level field;</td><td>1847</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>liquid crystals; molecular crystals and liquid crystals; journal of the american chemical society; chemistry-a european journal; chemical communications</td></tr><tr><td>Terms;</td><td>perylene; perylene bisimide; discotic liquid crystal; columnar mesophase; dicarboximide</td></tr></table>"	0.3846	-0.6287	3	51900
"ptcda; liquid solid interface; surface synthesis; copper phthalocyanine; perylenetetracarboxylic dianhydride"	45915	"<table><tr><td>Micro-level field;</td><td>1709</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; surface science; physical review b; chemical communications; langmuir</td></tr><tr><td>Terms;</td><td>ptcda; liquid solid interface; surface synthesis; copper phthalocyanine; perylenetetracarboxylic dianhydride</td></tr></table>"	0.5465	-0.5889	3	45915
"rutile tio2; nanocrystalline anatase; hydrophilicity; titanium oxide thin film; rf magnetron"	45789	"<table><tr><td>Micro-level field;</td><td>245</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; applied surface science; thin solid films; advanced materials research; ceramics international</td></tr><tr><td>Terms;</td><td>rutile tio2; nanocrystalline anatase; hydrophilicity; titanium oxide thin film; rf magnetron</td></tr></table>"	0.638	-0.5329	3	45789
