label	sublabel	description	x	y	cluster	weight
"synchronization; complex dynamical network; scale free network; epidemic; delay"	880	"<table><tr><td>Micro-level field;</td><td>182</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review e; physica a-statistical mechanics and its applications; lecture notes in computer science; scientific reports; epl</td></tr><tr><td>Terms;</td><td>synchronization; complex dynamical network; scale free network; epidemic; delay</td></tr></table>"	0.5643	0.5108	5	880
"bipolar plate; gas diffusion layer; pem fuel cell system; phase flow; numerical study"	676	"<table><tr><td>Micro-level field;</td><td>393</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of power sources; international journal of hydrogen energy; journal of the electrochemical society; ecs transactions; electrochimica acta</td></tr><tr><td>Terms;</td><td>bipolar plate; gas diffusion layer; pem fuel cell system; phase flow; numerical study</td></tr></table>"	0.6631	-0.3871	3	676
"matrix converter; sensorless vector control; mras; sensorless induction motor drife; speed estimation"	664	"<table><tr><td>Micro-level field;</td><td>340</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on industrial electronics; ieee transactions on power electronics; ieee transactions on industry applications; ieee industry applications society annual meeting</td></tr><tr><td>Terms;</td><td>matrix converter; sensorless vector control; mras; sensorless induction motor drife; speed estimation</td></tr></table>"	0.8792	0.2283	5	664
"short term load forecasting; wind speed; electricity price forecasting; wind speed forecasting; day"	642	"<table><tr><td>Micro-level field;</td><td>1083</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energies; lecture notes in computer science; international journal of forecasting; energy; applied energy</td></tr><tr><td>Terms;</td><td>short term load forecasting; wind speed; electricity price forecasting; wind speed forecasting; day</td></tr></table>"	0.6207	0.3901	5	642
"empirical mode decomposition; fault diagnosis; emd; machinery; vibration signal"	628	"<table><tr><td>Micro-level field;</td><td>632</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>mechanical systems and signal processing; measurement; applied mechanics and materials; ieee access; journal of sound and vibration</td></tr><tr><td>Terms;</td><td>empirical mode decomposition; fault diagnosis; emd; machinery; vibration signal</td></tr></table>"	0.76	0.2499	3	628
"oil water separation; superhydrophobicity; self cleaning; facile fabrication; oil"	587	"<table><tr><td>Micro-level field;</td><td>381</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; applied surface science; acs applied materials & interfaces; rsc advances; journal of colloid and interface science</td></tr><tr><td>Terms;</td><td>oil water separation; superhydrophobicity; self cleaning; facile fabrication; oil</td></tr></table>"	0.5995	-0.4038	3	587
"detection; diagnosis; condition monitoring; broken rotor bar; fault"	468	"<table><tr><td>Micro-level field;</td><td>1175</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on industrial electronics; ieee transactions on industry applications; ieee industry applications society annual meeting; ieee transactions on power electronics</td></tr><tr><td>Terms;</td><td>detection; diagnosis; condition monitoring; broken rotor bar; fault</td></tr></table>"	0.8788	0.2277	5	468
"distribution network reconfiguration; service restoration; optimal capacitor placement; optimal reconfiguration; radial distribution system"	455	"<table><tr><td>Micro-level field;</td><td>760</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on power systems; international journal of electrical power & energy systems; iet generation transmission & distribution; electric power systems research</td></tr><tr><td>Terms;</td><td>distribution network reconfiguration; service restoration; optimal capacitor placement; optimal reconfiguration; radial distribution system</td></tr></table>"	0.8555	0.257	5	455
"pentacene thin film transistor; pentacene; organic field effect transistor; gate; gate dielectric"	391	"<table><tr><td>Micro-level field;</td><td>348</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; organic electronics; advanced materials; japanese journal of applied physics; journal of physical chemistry c</td></tr><tr><td>Terms;</td><td>pentacene thin film transistor; pentacene; organic field effect transistor; gate; gate dielectric</td></tr></table>"	0.546	-0.5717	3	391
"stratospheric airship; airship; airborne wind energy system; kite; autonomous airship"	386	"<table><tr><td>Micro-level field;</td><td>3481</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>advances in space research; journal of aircraft; chinese control conference; proceedings of the american control conference; aerospace science and technology</td></tr><tr><td>Terms;</td><td>stratospheric airship; airship; airborne wind energy system; kite; autonomous airship</td></tr></table>"	0.8131	0.2812	3	386
