label	sublabel	description	x	y	cluster	weight
"oscillatory integral; unit circle; real line; zero; sobolev orthogonal polynomial"	118	"<table><tr><td>Micro-level field;</td><td>1735</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>journal of approximation theory; journal of computational and applied mathematics; journal of mathematical analysis and applications; applied mathematics and computation; numerical algorithms</td></tr><tr><td>Terms;</td><td>oscillatory integral; unit circle; real line; zero; sobolev orthogonal polynomial</td></tr></table>"	1.0984	0.2089	5	118
"synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator"	108	"<table><tr><td>Micro-level field;</td><td>2184</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>aiaa journal; journal of physics d-applied physics; ieee transactions on plasma science; combustion and flame; technical physics letters</td></tr><tr><td>Terms;</td><td>synthetic jet; airfoil; flow control; plasma actuator; dielectric barrier discharge plasma actuator</td></tr></table>"	0.7668	-0.2252	3	108
"carbonation; carbon capture; saline aquifer; co2 leakage; geological storage"	105	"<table><tr><td>Micro-level field;</td><td>1366</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>energy procedia; international journal of greenhouse gas control; greenhouse gases-science and technology; environmental science & technology; environmental earth sciences</td></tr><tr><td>Terms;</td><td>carbonation; carbon capture; saline aquifer; co2 leakage; geological storage</td></tr></table>"	0.5312	-0.2024	3	105
"triboelectric nanogenerator; contact electrification; bed; electrostatic separation; toner"	105	"<table><tr><td>Micro-level field;</td><td>2110</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>nano energy; journal of electrostatics; acs nano; acs applied materials & interfaces; advanced functional materials</td></tr><tr><td>Terms;</td><td>triboelectric nanogenerator; contact electrification; bed; electrostatic separation; toner</td></tr></table>"	0.6903	-0.4514	3	105
"c phycocyanin; spirulina; trichodesmium; spirulina platensis; anabaena sp strain pcc"	93	"<table><tr><td>Micro-level field;</td><td>1856</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of bacteriology; journal of applied phycology; applied and environmental microbiology; journal of phycology; plos one</td></tr><tr><td>Terms;</td><td>c phycocyanin; spirulina; trichodesmium; spirulina platensis; anabaena sp strain pcc</td></tr></table>"	-0.2128	-0.3055	4	93
"boron nitride nanotube; cubic boron nitride"	86	"<table><tr><td>Micro-level field;</td><td>1462</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; diamond and related materials; journal of physical chemistry c; applied physics letters; applied surface science</td></tr><tr><td>Terms;</td><td>boron nitride nanotube; cubic boron nitride</td></tr></table>"	0.6979	-0.4991	3	86
"nanofiber; electrospinning; electrospun poly; nanofibrous membrane"	85	"<table><tr><td>Micro-level field;</td><td>486</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of applied polymer science; materials science & engineering c-materials for biological applications; rsc advances; polymer; materials letters</td></tr><tr><td>Terms;</td><td>nanofiber; electrospinning; electrospun poly; nanofibrous membrane</td></tr></table>"	0.3358	-0.4481	3	85
"dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation"	85	"<table><tr><td>Micro-level field;</td><td>530</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation</td></tr></table>"	0.8601	0.2445	5	85
"square cylinder; vortex induced vibration; side; tandem arrangement; flexible cylinder"	83	"<table><tr><td>Micro-level field;</td><td>1237</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of fluids and structures; journal of fluid mechanics; aip advances; ocean engineering; journal of wind engineering and industrial aerodynamics</td></tr><tr><td>Terms;</td><td>square cylinder; vortex induced vibration; side; tandem arrangement; flexible cylinder</td></tr></table>"	0.7597	-0.1448	3	83
"torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design"	77	"<table><tr><td>Micro-level field;</td><td>376</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on magnetics; ieee transactions on industry applications; international conference on electrical machines and systems icems; ieee energy conversion congress and exposition; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design</td></tr></table>"	0.8789	0.222	5	77
"supercritical water oxidation; catalytic wet air oxidation; gasification; hydrogen production; phenol"	69	"<table><tr><td>Micro-level field;</td><td>2378</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of supercritical fluids; industrial & engineering chemistry research; international journal of hydrogen energy; applied catalysis b-environmental; oxidation communications</td></tr><tr><td>Terms;</td><td>supercritical water oxidation; catalytic wet air oxidation; gasification; hydrogen production; phenol</td></tr></table>"	0.4574	-0.4799	3	69
"cloud data center; virtual machine placement; live migration; cloud application; web server"	42	"<table><tr><td>Micro-level field;</td><td>392</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; future generation computer systems-the international journal of escience; communications in computer and information science; international conference on cloud computing technology and science; ieee international conference on cloud computing</td></tr><tr><td>Terms;</td><td>cloud data center; virtual machine placement; live migration; cloud application; web server</td></tr></table>"	0.703	0.5915	5	42
"cirrus cloud; light scattering; mixed phase cloud; aerosol indirect effect; marine stratocumulus"	40	"<table><tr><td>Micro-level field;</td><td>748</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of geophysical research-atmospheres; journal of the atmospheric sciences; atmospheric chemistry and physics; proceedings of spie; geophysical research letters</td></tr><tr><td>Terms;</td><td>cirrus cloud; light scattering; mixed phase cloud; aerosol indirect effect; marine stratocumulus</td></tr></table>"	0.3612	-0.0114	4	40
"biomass; biofuel; switchgrass; life cycle assessment; energy"	36	"<table><tr><td>Micro-level field;</td><td>733</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>biomass & bioenergy; global change biology bioenergy; renewable & sustainable energy reviews; journal of cleaner production; bioenergy research</td></tr><tr><td>Terms;</td><td>biomass; biofuel; switchgrass; life cycle assessment; energy</td></tr></table>"	0.1081	-0.0342	4	36
"fish cage; gravity cage; net cage; otter board; aquaculture net cage"	22	"<table><tr><td>Micro-level field;</td><td>3725</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>ocean engineering; aquacultural engineering; fisheries research; china ocean engineering; fisheries science</td></tr><tr><td>Terms;</td><td>fish cage; gravity cage; net cage; otter board; aquaculture net cage</td></tr></table>"	0.1633	-0.0917	3	22
"underwater sensor network; acoustic communication; underwater acoustic channel; protocol"	19	"<table><tr><td>Micro-level field;</td><td>2293</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>oceans-ieee; sensors; ieee journal of oceanic engineering; ieee access; journal of the acoustical society of america</td></tr><tr><td>Terms;</td><td>underwater sensor network; acoustic communication; underwater acoustic channel; protocol</td></tr></table>"	0.8151	0.5069	5	19
"alpha amylase; polygalacturonase; cyclodextrin glycosyltransferase; tannase; glucoamylase"	16	"<table><tr><td>Micro-level field;</td><td>1879</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>process biochemistry; applied biochemistry and biotechnology; applied microbiology and biotechnology; enzyme and microbial technology; bioscience biotechnology and biochemistry</td></tr><tr><td>Terms;</td><td>alpha amylase; polygalacturonase; cyclodextrin glycosyltransferase; tannase; glucoamylase</td></tr></table>"	-0.3079	-0.4005	4	16
"internal wafe; mesoscale eddy; estuary; strait; continental shelf"	15	"<table><tr><td>Micro-level field;</td><td>51</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of geophysical research-oceans; journal of physical oceanography; geophysical research letters; continental shelf research; ocean modelling</td></tr><tr><td>Terms;</td><td>internal wafe; mesoscale eddy; estuary; strait; continental shelf</td></tr></table>"	0.3109	-0.0178	4	15
"hydrogen adsorption; single walled carbon nanotube; physisorption; molecular hydrogen; zeolite"	12	"<table><tr><td>Micro-level field;</td><td>2242</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of hydrogen energy; journal of physical chemistry c; physical review b; carbon; journal of chemical physics</td></tr><tr><td>Terms;</td><td>hydrogen adsorption; single walled carbon nanotube; physisorption; molecular hydrogen; zeolite</td></tr></table>"	0.6403	-0.5251	3	12
"deepwater horizon oil spill; plume; exxon valdez oil spill; numerical simulation; dispersant"	11	"<table><tr><td>Micro-level field;</td><td>2386</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>marine pollution bulletin; journal of fluid mechanics; environmental science & technology; journal of hydraulic engineering; environmental toxicology and chemistry</td></tr><tr><td>Terms;</td><td>deepwater horizon oil spill; plume; exxon valdez oil spill; numerical simulation; dispersant</td></tr></table>"	0.0829	-0.1752	4	11
"autonomous underwater vehicle; auv; vehicle; autonomous; underwater glider"	10	"<table><tr><td>Micro-level field;</td><td>1435</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>oceans-ieee; ocean engineering; chinese control conference; ieee international conference on robotics and automation icra; ieee journal of oceanic engineering</td></tr><tr><td>Terms;</td><td>autonomous underwater vehicle; auv; vehicle; autonomous; underwater glider</td></tr></table>"	0.7902	0.3087	5	10
"electrophoresis; electric double layer; polyelectrolyte solution; counterion; diffusiophoresis"	8	"<table><tr><td>Micro-level field;</td><td>1679</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of chemical physics; journal of colloid and interface science; langmuir; journal of physical chemistry b; physical review e</td></tr><tr><td>Terms;</td><td>electrophoresis; electric double layer; polyelectrolyte solution; counterion; diffusiophoresis</td></tr></table>"	0.4149	-0.4825	3	8
"indian ocean tsunami; tsunami; tsunami deposit; tohoku oki earthquake; tsunami propagation"	4	"<table><tr><td>Micro-level field;</td><td>1056</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>geophysical research letters; journal of geophysical research-solid earth; earth planets and space; pure and applied geophysics; geophysical journal international</td></tr><tr><td>Terms;</td><td>indian ocean tsunami; tsunami; tsunami deposit; tohoku oki earthquake; tsunami propagation</td></tr></table>"	0.5096	-0.0831	4	4
"solar air heater; rib; tube heat exchanger; constructal design; dimple"	3	"<table><tr><td>Micro-level field;</td><td>838</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of heat and mass transfer; applied thermal engineering; international journal of thermal sciences; journal of heat transfer-transactions of the asme; heat and mass transfer</td></tr><tr><td>Terms;</td><td>solar air heater; rib; tube heat exchanger; constructal design; dimple</td></tr></table>"	0.7191	-0.224	3	3
"weld pool; arc welding; residual stress measurement; welding residual stress; distortion"	2	"<table><tr><td>Micro-level field;</td><td>590</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of advanced manufacturing technology; science and technology of welding and joining; journal of materials processing technology; welding journal; advanced materials research</td></tr><tr><td>Terms;</td><td>weld pool; arc welding; residual stress measurement; welding residual stress; distortion</td></tr></table>"	0.8092	-0.3652	3	2
"biped robot; gait; rough terrain; cpg; central pattern generator"	2	"<table><tr><td>Micro-level field;</td><td>548</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee international conference on robotics and automation icra; ieee international conference on intelligent robots and systems; ieee-ras international conference on humanoid robots; journal of experimental biology; lecture notes in computer science</td></tr><tr><td>Terms;</td><td>biped robot; gait; rough terrain; cpg; central pattern generator</td></tr></table>"	0.6392	0.3166	5	2
