"HYDRO$Country" "HYDRO_1_avg"
"1" "BE" 0.0913683993452511
"2" "BG" 0.231662586123727
"3" "CZ" 0.136648262778219
"4" "DK" 0.00082356202808265
"5" "DE" 0.0840413646058959
"6" "EE" 0.001641715201501
"7" "IE" 0.0890446424910687
"8" "EL" 0.250315192689136
"9" "ES" 0.265943828143923
"10" "FR" 0.223401668073418
"11" "HR" 0.715771591027286
"12" "IT" 0.25112319410974
"13" "CY" 0
"14" "LV" 0.711410334063272
"15" "LT" 0.171931764334228
"16" "LU" 0.743116752285118
"17" "HU" 0.00594038147268975
"18" "MT" 0
"19" "NL" 0.00197330176050517
"20" "AT" 0.657197389171685
"21" "PL" 0.0762670516445104
"22" "PT" 0.401866515837104
"23" "RO" 0.351579468596316
"24" "SI" 0.314091435185185
"25" "SK" 0.337037696808584
"26" "FI" 0.20298882781909
"27" "SE" 0.500143391483156
"28" "IS" 0.751018358350539
"29" "NO" 0.983051638473247
"30" "UK" 0.0557400844062986
"31" "MK" 0.332653598210762
"32" "AL" 1
"33" "RS" 1
"34" "TR" 0.375720087169245
"35" "XK" 0.037044832666807
"36" "UA" 0.101955902106608
