"Country" "TOTAL_1_avg"
"1" "BE" 15517.4
"2" "BG" 10987.1
"3" "CZ" 14738.5701
"4" "DK" 12263.8
"5" "DE" 121098.7
"6" "EE" 2558.3
"7" "IE" 5934.1021
"8" "EL" 12452.7
"9" "ES" 67316.095
"10" "FR" 111841.6
"11" "HR" 2884.3
"12" "IT" 82577
"13" "CY" 1086
"14" "LV" 2146.3
"15" "LT" 5064.8
"16" "LU" 1523.7175
"17" "HU" 8383.3
"18" "MT" 228.4
"19" "NL" 18750.3
"20" "AT" 17203.1534
"21" "PL" 29923.8
"22" "PT" 12022.4
"23" "RO" 17771.8
"24" "SI" 2764.8
"25" "SK" 7297.7
"26" "FI" 13918.5
"27" "SE" 32777.4
"28" "IS" 1792.1
"29" "NO" 27855.2
"30" "UK" 74544.2
"31" "MK" 1520.2
"32" "AL" 1454.2
"33" "RS" 2887.0634
"34" "TR" 32947.4
"35" "XK" 950.2
"36" "UA" 15261.5
