"WIND$Country" "WIND_1_avg"
"1" "BE" 0.0115418820163172
"2" "BG" 0.00466911195856959
"3" "CZ" 0.00378462765529744
"4" "DK" 0.245103475268677
"5" "DE" 0.137915601075817
"6" "EE" 0.0116092717820428
"7" "IE" 0.0846766691122487
"8" "EL" 0.0474033743686108
"9" "ES" 0.143808104139136
"10" "FR" 0.0112668273701378
"11" "HR" 0.00440314807752314
"12" "IT" 0.0223355171536869
"13" "CY" 0
"14" "LV" 0.00964450449610958
"15" "LT" 0.00458063497077871
"16" "LU" 0.0188844060660851
"17" "HU" 0.00543938544487254
"18" "MT" 0
"19" "NL" 0.048527223564423
"20" "AT" 0.0343344377781343
"21" "PL" 0.0065633375440285
"22" "PT" 0.102708277881288
"23" "RO" 0.000123791624933884
"24" "SI" 0
"25" "SK" 0
"26" "FI" 0.00590580881560513
"27" "SE" 0.0190588637292769
"28" "IS" 0
"29" "NO" 0.00749231741290675
"30" "UK" 0.0100450470995731
"31" "MK" 0
"32" "AL" 0
"33" "RS" 0
"34" "TR" 0.00444648136119997
"35" "XK" 0
"36" "UA" 0.00163810896700849
