"WIND$Country" "WIND_2_avg"
"1" "BE" 0.125556873677177
"2" "BG" 0.0605526555685412
"3" "CZ" 0.0140864389603835
"4" "DK" 0.385422190815275
"5" "DE" 0.226911352623431
"6" "EE" 0.0937305103626289
"7" "IE" 0.273715633786001
"8" "EL" 0.122742042758235
"9" "ES" 0.232483154500622
"10" "FR" 0.0806059568160927
"11" "HR" 0.0844021637242395
"12" "IT" 0.0776670697251914
"13" "CY" 0.0860742679411816
"14" "LV" 0.0224219950797831
"15" "LT" 0.107567755788985
"16" "LU" 0.0503405822990916
"17" "HU" 0.0375481497761686
"18" "MT" 0
"19" "NL" 0.114666773066851
"20" "AT" 0.0987490201019065
"21" "PL" 0.114583602979571
"22" "PT" 0.264366170533599
"23" "RO" 0.105698342266022
"24" "SI" 0.00106903489866051
"25" "SK" 0.000101069897053091
"26" "FI" 0.0745879967731216
"27" "SE" 0.137880967884224
"28" "IS" 0.000656840410983928
"29" "NO" 0.0327977372570259
"30" "UK" 0.141677171290891
"31" "MK" 0.0126150713279999
"32" "AL" 0
"33" "RS" 0.0110658131689581
"34" "TR" 0.0647456299211443
"35" "XK" 0.016692688820824
"36" "UA" 0.00741606230032103
