cluster_id1	weight	perc_cluster
2558	1	0,01023000
1931	1	0,01023000
3248	1	0,01023000
3199	1	0,01023000
637	1	0,01023000
729	1	0,01023000
1725	1	0,01023000
2260	1	0,01023000
1142	1	0,01023000
1119	1	0,01023000
3529	1	0,01023000
758	1	0,01023000
1754	1	0,01023000
1282	1	0,01023000
2516	1	0,01023000
682	1	0,01023000
1192	1	0,01023000
459	1	0,01023000
1172	1	0,01023000
1392	1	0,01023000
488	1	0,01023000
1100	1	0,01023000
1458	1	0,01023000
2454	1	0,01023000
3548	1	0,01023000
2709	1	0,01023000
551	1	0,01023000
2211	1	0,01023000
433	1	0,01023000
3599	1	0,01023000
1982	1	0,01023000
3691	1	0,01023000
2566	1	0,01023000
2403	1	0,01023000
2368	1	0,01023000
3728	1	0,01023000
1143	1	0,01023000
1807	1	0,01023000
2423	1	0,01023000
3505	1	0,01023000
874	1	0,01023000
2935	1	0,01023000
2377	1	0,01023000
270	1	0,01023000
1799	1	0,01023000
3327	1	0,01023000
2237	1	0,01023000
224	1	0,01023000
2881	1	0,01023000
84	1	0,01023000
2534	1	0,01023000
2529	1	0,01023000
1207	1	0,01023000
1201	1	0,01023000
620	1	0,01023000
317	1	0,01023000
1702	1	0,01023000
2936	1	0,01023000
1098	1	0,01023000
328	1	0,01023000
1530	1	0,01023000
912	1	0,01023000
1994	1	0,01023000
1155	1	0,01023000
3500	1	0,01023000
1742	1	0,01023000
3594	1	0,01023000
1602	1	0,01023000
391	1	0,01023000
2243	1	0,01023000
1478	1	0,01023000
2311	1	0,01023000
2821	1	0,01023000
2727	1	0,01023000
1044	1	0,01023000
1877	1	0,01023000
2086	1	0,01023000
829	1	0,01023000
2967	1	0,01023000
852	1	0,01023000
3623	1	0,01023000
3577	1	0,01023000
898	1	0,01023000
3136	1	0,01023000
2890	1	0,01023000
1785	1	0,01023000
3550	1	0,01023000
43	1	0,01023000
1523	1	0,01023000
988	1	0,01023000
2213	1	0,01023000
2803	1	0,01023000
190	1	0,01023000
854	1	0,01023000
2443	1	0,01023000
2752	1	0,01023000
213	1	0,01023000
1092	1	0,01023000
1687	1	0,01023000
359	1	0,01023000
353	1	0,01023000
336	1	0,01023000
1633	1	0,01023000
1564	1	0,01023000
900	1	0,01023000
1069	1	0,01023000
236	1	0,01023000
1255	1	0,01023000
273	1	0,01023000
2028	1	0,01023000
3688	1	0,01023000
1246	1	0,01023000
963	1	0,01023000
3662	1	0,01023000
1996	1	0,01023000
1057	1	0,01023000
2142	1	0,01023000
113	1	0,01023000
3516	1	0,01023000
1856	1	0,01023000
2374	1	0,01023000
313	1	0,01023000
562	1	0,01023000
1704	1	0,01023000
954	1	0,01023000
1959	1	0,01023000
2500	1	0,01023000
130	1	0,01023000
462	1	0,01023000
1524	1	0,01023000
1026	1	0,01023000
2669	1	0,01023000
2079	1	0,01023000
585	1	0,01023000
1667	1	0,01023000
3339	1	0,01023000
7	1	0,01023000
2912	1	0,01023000
1226	1	0,01023000
688	1	0,01023000
711	1	0,01023000
47	1	0,01023000
70	1	0,01023000
2085	1	0,01023000
1753	1	0,01023000
93	1	0,01023000
2772	1	0,01023000
780	1	0,01023000
1515	1	0,01023000
293	1	0,01023000
2457	1	0,01023000
2855	1	0,01023000
691	1	0,01023000
442	1	0,01023000
1475	1	0,01023000
2227	1	0,01023000
899	1	0,01023000
335	1	0,01023000
2250	1	0,01023000
2179	1	0,01023000
2273	1	0,01023000
3822	1	0,01023000
2674	1	0,01023000
2774	1	0,01023000
1062	1	0,01023000
1769	1	0,01023000
782	1	0,01023000
2216	1	0,01023000
3198	1	0,01023000
444	1	0,01023000
2067	1	0,01023000
2751	1	0,01023000
3123	1	0,01023000
1529	1	0,01023000
1031	1	0,01023000
2525	1	0,01023000
2482	1	0,01023000
32	1	0,01023000
1260	1	0,01023000
2296	1	0,01023000
1051	1	0,01023000
1300	1	0,01023000
719	1	0,01023000
1486	1	0,01023000
1835	1	0,01023000
1354	1	0,01023000
868	1	0,01023000
1243	1	0,01023000
2127	1	0,01023000
1884	1	0,01023000
2293	1	0,01023000
315	1	0,01023000
1011	1	0,01023000
2439	1	0,01023000
1303	1	0,01023000
470	1	0,01023000
3132	1	0,01023000
1042	1	0,01023000
856	1	0,01023000
2585	1	0,01023000
2894	1	0,01023000
1065	1	0,01023000
670	1	0,01023000
1844	1	0,01023000
209	1	0,01023000
284	1	0,01023000
2276	1	0,01023000
1085	1	0,01023000
1240	1	0,01023000
2353	1	0,01023000
550	1	0,01023000
3647	1	0,01023000
1028	1	0,01023000
3	1	0,01023000
1532	1	0,01023000
132	1	0,01023000
2528	1	0,01023000
1838	1	0,01023000
1171	1	0,01023000
607	1	0,01023000
1271	1	0,01023000
1059	1	0,01023000
3472	1	0,01023000
1497	1	0,01023000
658	1	0,01023000
409	1	0,01023000
1019	1	0,01023000
2295	1	0,01023000
1299	1	0,01023000
1643	1	0,01023000
226	1	0,01023000
1577	1	0,01023000
844	1	0,01023000
3927	1	0,01023000
2908	1	0,01023000
518	1	0,01023000
3128	1	0,01023000
1451	1	0,01023000
1746	1	0,01023000
475	1	0,01023000
3108	1	0,01023000
120	1	0,01023000
738	1	0,01023000
638	1	0,01023000
1130	1	0,01023000
2802	1	0,01023000
395	1	0,01023000
495	1	0,01023000
2161	1	0,01023000
601	1	0,01023000
1955	1	0,01023000
3045	1	0,01023000
340	1	0,01023000
3904	1	0,01023000
1912	1	0,01023000
2049	1	0,01023000
2026	1	0,01023000
40	1	0,01023000
1983	1	0,01023000
515	1	0,01023000
1308	1	0,01023000
3323	1	0,01023000
1694	1	0,01023000
1989	1	0,01023000
20	1	0,01023000
80	1	0,01023000
68	1	0,01023000
1494	1	0,01023000
383	1	0,01023000
1757	1	0,01023000
2129	1	0,01023000
755	1	0,01023000
575	1	0,01023000
3231	1	0,01023000
3755	1	0,01023000
727	1	0,01023000
821	1	0,01023000
3993	1	0,01023000
320	1	0,01023000
1935	1	0,01023000
2599	1	0,01023000
512	1	0,01023000
778	1	0,01023000
598	1	0,01023000
1617	1	0,01023000
1631	1	0,01023000
847	1	0,01023000
137	1	0,01023000
635	1	0,01023000
1033	1	0,01023000
1972	1	0,01023000
