nuts2	country_iso_alpha3_code	cluster_id1	counts
FI1B	FIN	299	8
ITI3	ITA	2086	8
SE12	SWE	1332	16
DEA1	DEU	233	42
NL33	NLD	83	18
DK01	DNK	1332	12
ITC4	ITA	28	8
ITI1	ITA	233	12
NL22	NLD	2086	381
PL41	POL	2242	4
DK03	DNK	233	136
UKJ1	GBR	2086	11
TR51	TUR	2110	9
ITF4	ITA	1332	28
ITG2	ITA	1891	85
BE25	BEL	1332	20
UKJ3	GBR	1891	142
FRD1	FRA	2414	57
FRJ2	FRA	1891	36
CH04	CHE	1332	66
ITC1	ITA	1120	25
UKI3	GBR	2184	1
UKI3	GBR	2386	3
CH03	CHE	28	4
ES21	ESP	299	13
ES51	ESP	2414	209
DE40	DEU	486	4
FRI1	FRA	137	2
ITC3	ITA	233	12
UKM9	GBR	1891	4
FI1C	FIN	2184	2
CZ06	CZE	233	9
ES51	ESP	1120	25
ITC4	ITA	1120	39
TR71	TUR	137	36
NL21	NLD	2086	446
NL33	NLD	2184	2
BE21	BEL	2086	79
DEA2	DEU	1366	2
PL84	POL	2184	3
DED2	DEU	233	33
DK05	DNK	137	4
UKM7	GBR	1856	15
UKE3	GBR	299	2
CH03	CHE	137	2
DK05	DNK	1332	8
SI03	SVN	1332	2
UKK1	GBR	2086	2
FI1B	FIN	28	42
PL42	POL	1891	5
CZ06	CZE	2086	3
CH01	CHE	1462	8
PT16	PRT	2414	76
UKJ1	GBR	299	4
ES42	ESP	1332	34
DK04	DNK	1332	10
HU21	HUN	137	6
FRI1	FRA	1366	6
UKM5	GBR	1856	5
UKE4	GBR	1366	13
FRL0	FRA	1856	21
HU11	HUN	486	9
UKJ3	GBR	299	6
EL52	GRC	466	2
PT11	PRT	466	4
DE25	DEU	486	4
DE12	DEU	2086	3
ITF4	ITA	1891	11
BE23	BEL	2086	162
DE11	DEU	137	43
SE11	SWE	1366	2
ES30	ESP	1891	270
NO06	NOR	1605	2
UKC1	GBR	137	21
FRL0	FRA	2414	19
UKH1	GBR	1891	17
UKH2	GBR	1120	4
UKK3	GBR	1891	408
NO06	NOR	1332	13
EE00	EST	2378	6
PL41	POL	233	9
UKE1	GBR	1332	2
UKC1	GBR	1450	22
BE32	BEL	1856	5
DEA2	DEU	1605	36
UKE3	GBR	83	12
DE12	DEU	2378	6
ITG1	ITA	233	6
ES12	ESP	1462	10
FRK2	FRA	299	33
ITI3	ITA	1332	2
DEA5	DEU	1450	4
NL41	NLD	376	2
CH01	CHE	137	4
UKH2	GBR	28	12
ITI4	ITA	299	16
DE30	DEU	1891	97
ES51	ESP	2086	34
UKJ1	GBR	1332	74
AT13	AUT	2414	285
DEA3	DEU	233	12
UKM7	GBR	1891	1011
UKC2	GBR	376	3
ES11	ESP	51	12
ITI1	ITA	1332	34
FRG0	FRA	2184	1
ES62	ESP	233	9
DE91	DEU	233	60
DEA1	DEU	28	16
UKG3	GBR	299	1
SK01	SVK	83	2
ITH5	ITA	28	4
FI19	FIN	2378	9
UKI3	GBR	1891	409
UKF1	GBR	233	15
DEE0	DEU	28	16
FRD2	FRA	1332	4
NL31	NLD	466	12
FRE1	FRA	1332	6
FRJ2	FRA	1366	12
PL61	POL	28	4
FRL0	FRA	28	32
LV00	LVA	1120	4
ITC1	ITA	2378	36
CZ01	CZE	466	8
DE11	DEU	1120	36
UKI7	GBR	1891	10
ES61	ESP	2414	19
IE05	IRL	1605	1
AT13	AUT	1120	8
FR10	FRA	466	20
TR32	TUR	1891	3
CH04	CHE	1120	20
UKH2	GBR	2086	8
PL21	POL	1120	2
ITF1	ITA	466	2
UKN0	GBR	299	4
DEA2	DEU	83	78
UKM8	GBR	2086	8
DE21	DEU	233	68
