nuts2	country_iso_alpha3_code	cluster_id1	counts
UKK1	GBR	1576	4
DE11	DEU	1460	141
DE23	DEU	534	3
RO32	ROU	1918	131
ES51	ESP	1075	1010
DED4	DEU	959	418
FRF1	FRA	532	4
PL21	POL	2635	33
EL63	GRC	857	612
UKE2	GBR	433	12
SE22	SWE	1001	21
FRF1	FRA	3324	20
SK03	SVK	1038	14
CH02	CHE	125	6
PL91	POL	1865	487
UKE4	GBR	2022	38
NL32	NLD	1728	19
FRF1	FRA	233	4
BE32	BEL	482	1
SI04	SVN	448	24
UKJ3	GBR	778	10
UKE1	GBR	1120	1
EL52	GRC	248	32
DE25	DEU	482	54
DEA2	DEU	891	2
ES61	ESP	342	104
CH02	CHE	2670	332
SK03	SVK	328	25
SE31	SWE	449	80
NL33	NLD	1185	354
UKC2	GBR	760	41
UKN0	GBR	784	4
ITI1	ITA	22	30
AT21	AUT	1369	30
SE23	SWE	313	229
BE33	BEL	1490	105
DE94	DEU	1964	1
BG41	BGR	2670	8
PL91	POL	2791	32
UKG3	GBR	880	22
ES30	ESP	1944	7229
UKC2	GBR	677	57
ES30	ESP	2471	8
DE92	DEU	3472	2
PT11	PRT	1919	54
HU32	HUN	1398	4
CZ03	CZE	1247	81
TR31	TUR	1919	21
DE23	DEU	1524	4
UKJ3	GBR	1407	38
DE25	DEU	3104	3
NL22	NLD	14	52610
ES11	ESP	1051	21
FRB0	FRA	734	90
TR90	TUR	201	17
ES30	ESP	1450	2254
CH03	CHE	921	4
FRK1	FRA	1001	12
FI1D	FIN	1226	278
SE12	SWE	17	6511
AT31	AUT	1709	443
DEA4	DEU	1102	33
PT17	PRT	1065	48
ES42	ESP	752	18
ES51	ESP	253	12
UKM5	GBR	2766	18
TRB1	TUR	2377	24
DE25	DEU	2629	4
UKC1	GBR	959	68
FRJ2	FRA	2010	100
UKD7	GBR	721	13
DE11	DEU	152	32
HR02	HRV	3282	12
ES61	ESP	114	98
HU11	HUN	959	13
DEB3	DEU	1628	38
FRH0	FRA	3198	5
HR05	HRV	1101	1
DE92	DEU	1290	9
NO0A	NOR	645	16
DK04	DNK	321	57
UKD3	GBR	1830	4
FRI3	FRA	1015	6
UKJ4	GBR	481	2
DE30	DEU	1711	49
BE33	BEL	3591	9
UKH1	GBR	341	847
FI1D	FIN	1525	592
SE22	SWE	856	327
FRI1	FRA	645	14
IS00	ISL	14	128
AT33	AUT	1490	54
CH03	CHE	3414	667
RO11	ROU	1546	4
