nuts2	country_iso_alpha3_code	cluster_id1	counts
ITF3	ITA	363	2
UKE3	GBR	721	176
ES43	ESP	220	2
DE21	DEU	2088	1
DE40	DEU	1515	7
ITI4	ITA	995	8
UKD4	GBR	2223	2
ITH5	ITA	348	17191
UKH2	GBR	1588	17
ITH2	ITA	697	1
UKC2	GBR	1299	6
PT11	PRT	64	1
PT11	PRT	2529	8
ES24	ESP	2088	83
BE32	BEL	1263	51
FRG0	FRA	17	675
BE35	BEL	1457	34
UKC2	GBR	252	262
DEA2	DEU	105	1091
PL22	POL	321	14
DED2	DEU	2721	1207
FRL0	FRA	501	4
SI03	SVN	1830	4
UKG1	GBR	2300	28
DEB3	DEU	125	12
ES42	ESP	377	2774
ES52	ESP	1316	16
FRG0	FRA	1553	10
ES61	ESP	475	98
UKI3	GBR	1728	34
FRK2	FRA	804	49
CH01	CHE	337	64
LV00	LVA	451	2
CH03	CHE	451	4
FRI1	FRA	87	5418
FRK2	FRA	2186	11
DE40	DEU	2752	8
DE60	DEU	1147	16
TRA1	TUR	910	6
DK01	DNK	981	2
CH01	CHE	857	136
DE91	DEU	2261	34
UKE2	GBR	452	2
FRC2	FRA	301	3
AT22	AUT	697	19
EL52	GRC	1675	65
NL32	NLD	752	23
FRF1	FRA	475	1
DEE0	DEU	2806	15
FR10	FRA	1129	275
ES30	ESP	2725	572
PL84	POL	377	480
NL11	NLD	220	16
UKH1	GBR	488	16
BE33	BEL	205	2
FRI1	FRA	2516	9
DK01	DNK	342	4
UKM5	GBR	1322	1
SE11	SWE	695	13
UKM7	GBR	1322	12
CH03	CHE	878	30
UKF2	GBR	804	44
DE11	DEU	50	1417
DE25	DEU	14	1917
NL22	NLD	2022	19
NL32	NLD	2127	20
DE50	DEU	28	8
CH04	CHE	2709	2
NL31	NLD	891	40
PL91	POL	1015	24
ITH2	ITA	1343	5
DE24	DEU	449	63
DE80	DEU	2630	12
DED4	DEU	28	9
CH03	CHE	97	272
UKJ1	GBR	1972	2
FR10	FRA	2276	16
EL30	GRC	449	72
CZ01	CZE	1226	6
UKI3	GBR	1956	128
CH04	CHE	1382	20
FI1D	FIN	1352	7
DED2	DEU	2821	17
CZ02	CZE	245	202
PL63	POL	3837	12
PL41	POL	98	10
ES22	ESP	1877	3
FI1C	FIN	3414	665
ES52	ESP	105	450
ITH3	ITA	527	40
AT13	AUT	981	129
DED4	DEU	301	57
DEA2	DEU	2463	109
DE12	DEU	2721	210
FRK2	FRA	3577	144
HU11	HUN	501	1177
DEE0	DEU	1203	401
UKG3	GBR	481	7
SI04	SVN	2269	8
FI1B	FIN	413	15
ITG1	ITA	2457	14
UKK1	GBR	534	222
DEA2	DEU	452	14
SE11	SWE	721	39
PL81	POL	299	58
ITH4	ITA	1964	4
UKJ2	GBR	1546	186
ES61	ESP	218	4
RO32	ROU	6	114
FRK2	FRA	184	650
UKJ1	GBR	697	4
UKF2	GBR	1450	52
TR42	TUR	857	40
CH04	CHE	1928	333
TRC2	TUR	780	2
UKH1	GBR	6	734
AT21	AUT	252	3
ITH2	ITA	1616	2
SK04	SVK	1460	30
FR10	FRA	550	24
UKD3	GBR	1263	164
FRC2	FRA	208	2
DEA3	DEU	232	713
RO32	ROU	1847	12
BE35	BEL	593	8
DE92	DEU	340	12
FRI1	FRA	1925	33
DEA1	DEU	17	505
FRK2	FRA	348	7434
SI04	SVN	1077	3
NL31	NLD	236	4
ITI1	ITA	1254	8
DE25	DEU	898	7
ES30	ESP	21	54
FR10	FRA	1013	10
ITH5	ITA	1675	84
BE10	BEL	630	6
HU23	HUN	2142	40
DE50	DEU	593	8
FI1B	FIN	959	12
DE50	DEU	1291	31
DEA2	DEU	3472	20
SE11	SWE	1958	3
FRK2	FRA	2822	32
FRK2	FRA	412	58
EL54	GRC	87	6
DEG0	DEU	1051	62
ES30	ESP	705	7
FRF1	FRA	2849	650
FRH0	FRA	271	2
DE27	DEU	857	111
ES52	ESP	2142	3
DED5	DEU	534	16
DEB3	DEU	215	5
ES51	ESP	1025	51
DE72	DEU	2914	16
UKJ1	GBR	880	1
UKI7	GBR	1956	14
DE21	DEU	986	1
UKH1	GBR	25	181
ITC1	ITA	220	6
UKE4	GBR	6	5
DE21	DEU	2560	18
PT17	PRT	1231	524
ITC4	ITA	752	98
CH01	CHE	2104	20
DEA5	DEU	501	71
FRF3	FRA	6	46
FRJ2	FRA	2088	71
FRJ2	FRA	321	12
DE72	DEU	1867	3
AT13	AUT	772	5465
BE10	BEL	623	2
BE33	BEL	578	21
ITI1	ITA	1964	8
DE24	DEU	150	82
DE71	DEU	25	83
ITF6	ITA	64	3
UKJ3	GBR	70	4
UKD6	GBR	1058	16
CZ06	CZE	17	30
ITH5	ITA	1694	2
UKD6	GBR	695	2
BE24	BEL	2463	80
PL61	POL	245	12
DEA5	DEU	2766	3
FR10	FRA	512	17
ES51	ESP	350	107
CZ05	CZE	1854	168
EL30	GRC	2261	6
UKL1	GBR	1015	71
UKD4	GBR	105	4
DE40	DEU	1460	144
UKH1	GBR	215	277
ITI1	ITA	245	877
DE13	DEU	1775	239
UKE2	GBR	2142	2
DE21	DEU	2223	2
DE71	DEU	1580	1501
FRE1	FRA	844	26
DE12	DEU	755	12
RO31	ROU	1457	3
SK01	SVK	50	751
ITI1	ITA	765	13
