nuts2	country_iso_alpha3_code	cluster_id1	counts
UKK1	GBR	1576	152
SE31	SWE	639	16
DK03	DNK	639	286
FRI1	FRA	182	3
HR05	HRV	182	14
ITF4	ITA	639	68
CH04	CHE	94	4
FRH0	FRA	444	26
UKG3	GBR	189	1
EL63	GRC	857	30
FRF3	FRA	182	1
NO06	NOR	319	4
NL22	NLD	14	5
ITF4	ITA	340	2
ES30	ESP	3367	8
EL30	GRC	2308	36
NL33	NLD	437	27
ES61	ESP	1605	568
CH01	CHE	299	10
PL43	POL	765	1
CZ03	CZE	765	1
SE12	SWE	3127	4
EL30	GRC	1743	3
EL61	GRC	336	5
FRL0	FRA	1605	66
ES30	ESP	232	18
UKK1	GBR	14	4
DE91	DEU	1518	1
EL61	GRC	381	24
ES61	ESP	1332	74
UKE3	GBR	1718	1
SE31	SWE	337	65
NO06	NOR	920	1
DE12	DEU	1605	70
DE40	DEU	441	2
ITI3	ITA	94	1
UKD3	GBR	14	6
DEA2	DEU	319	16
FRJ1	FRA	274	5
DE25	DEU	299	35
FRJ1	FRA	319	8
UKC2	GBR	1332	1
EL52	GRC	376	24
ITF6	ITA	337	52
ES41	ESP	393	8
CZ07	CZE	182	1
HU11	HUN	2524	2
SE11	SWE	2288	12
DE12	DEU	558	10
BE33	BEL	1226	12
DEA1	DEU	1440	1
FI1B	FIN	1289	6
CH03	CHE	966	6
NL32	NLD	337	9
DE80	DEU	319	16
PT17	PRT	319	2
UKG1	GBR	1738	6
UKN0	GBR	337	4
UKJ1	GBR	299	1
DE60	DEU	510	2
DED2	DEU	2184	2
UKE3	GBR	1175	15
DE14	DEU	444	10
ES61	ESP	1602	3
UKJ3	GBR	337	1
DE71	DEU	278	14
DE11	DEU	448	26
UKC1	GBR	448	2
ITI1	ITA	1738	4
SE31	SWE	1175	9
TR31	TUR	1572	1
ES52	ESP	1553	8
UKN0	GBR	639	266
UKL2	GBR	920	1
NO06	NOR	772	6
EL52	GRC	1083	95
FRF3	FRA	28	9
ES30	ESP	2079	1
FR10	FRA	1594	4
FI1C	FIN	2186	2
AT13	AUT	534	4
SE12	SWE	232	2
ES30	ESP	94	1
DE72	DEU	50	8
FRE1	FRA	772	7
ITI4	ITA	1605	280
DE21	DEU	1605	294
RO12	ROU	857	20
DEA2	DEU	1553	12
ES51	ESP	1345	24
ITC1	ITA	274	6
ITF4	ITA	3396	98
FRI3	FRA	639	21
NL33	NLD	530	28
ITG1	ITA	1605	212
NO08	NOR	1083	11
ES22	ESP	3396	4
NL22	NLD	448	132
DEG0	DEU	639	8
ES42	ESP	530	8
PT16	PRT	1120	3
DK01	DNK	182	30
UKF2	GBR	1332	1
UKL2	GBR	319	4
UKJ4	GBR	1332	1
ITF3	ITA	1120	4
DE11	DEU	920	2
ITI4	ITA	448	6
TR72	TUR	1572	2
DED4	DEU	274	12
DE21	DEU	2184	1
DE12	DEU	2736	4
UKI3	GBR	167	2
UKI7	GBR	1012	2
DE30	DEU	1615	2
CH02	CHE	639	2
UKI3	GBR	1468	4
DEG0	DEU	2204	6
AT31	AUT	1012	7
ITH4	ITA	337	17
ES51	ESP	323	4
DE13	DEU	784	2
PT16	PRT	182	13
FRL0	FRA	381	10
ES52	ESP	1576	226
FRF3	FRA	632	2
UKG3	GBR	639	92
SE12	SWE	94	2
UKI3	GBR	530	346
ES24	ESP	857	12
DE11	DEU	3301	56
SE22	SWE	278	3
DE11	DEU	1891	2
FR10	FRA	437	10
ES11	ESP	765	65
FRI1	FRA	639	589
TR51	TUR	765	32
UKG1	GBR	639	12
DK01	DNK	336	15
DE71	DEU	1897	12
BE10	BEL	1175	1
UKM5	GBR	3396	4
UKE3	GBR	76	2
UKH1	GBR	444	1
TR10	TUR	1572	2
ES30	ESP	319	6
BE24	BEL	14	3
ITH5	ITA	45	6
DEB3	DEU	50	39
DEE0	DEU	1247	6
FRF1	FRA	381	9
DE71	DEU	50	11
ES22	ESP	1083	21
TR51	TUR	784	50
ES11	ESP	1083	1
ES30	ESP	274	15
EL52	GRC	662	2
TR10	TUR	2308	6
IE06	IRL	1332	1
UKG3	GBR	482	4
FI1C	FIN	274	6
BE24	BEL	920	2
FRJ2	FRA	2184	78
UKK4	GBR	19	1
DEE0	DEU	1083	29
ITC3	ITA	394	1
BE24	BEL	348	10
SE23	SWE	2308	6
ES22	ESP	482	2
FRH0	FRA	765	1
CH01	CHE	2166	4
ES30	ESP	444	2
NL22	NLD	672	6
UKN0	GBR	3097	16
FRE1	FRA	393	292
UKI3	GBR	1693	2
UKC2	GBR	1175	8
NO06	NOR	348	6
DK04	DNK	286	264
UKI3	GBR	437	6
PL41	POL	1559	20
UKM5	GBR	340	6
ITF3	ITA	182	17
RO11	ROU	920	10
DK01	DNK	2431	4
CH01	CHE	1012	2
FI1C	FIN	428	14
ES51	ESP	558	4
AT13	AUT	299	3
EL30	GRC	393	2
PL51	POL	1615	2
DED2	DEU	381	42
FRE1	FRA	2186	44
ITH5	ITA	765	90
ES51	ESP	1175	8
IE06	IRL	2184	2
DEA2	DEU	94	2
UKJ1	GBR	376	29
IE06	IRL	593	16
UKI7	GBR	1738	8
DE71	DEU	593	5
ES52	ESP	1492	6
UKM8	GBR	337	67
TR10	TUR	920	7
DE11	DEU	319	4
TR21	TUR	1332	2
UKM5	GBR	3367	6
UKJ3	GBR	530	60
FRE1	FRA	1139	50
ES30	ESP	1083	306
DE73	DEU	348	32
PL21	POL	1247	6
CH03	CHE	278	6
HR05	HRV	50	3
CH03	CHE	50	2
PL91	POL	182	1
DEA2	DEU	448	1
BE24	BEL	232	9
ITI4	ITA	393	68
DE30	DEU	1332	14
EL51	GRC	857	69
NL32	NLD	639	511
NL21	NLD	182	2
NL33	NLD	1738	118
DE91	DEU	319	8
FR10	FRA	222	34
UKM8	GBR	3396	14
DE25	DEU	437	2
DK05	DNK	1284	2
DE12	DEU	275	1
SE12	SWE	335	3
CH04	CHE	393	21
PL63	POL	337	22
NL11	NLD	2022	2
DK03	DNK	530	38
NL41	NLD	189	8
TR52	TUR	784	4
BE33	BEL	381	27
FRG0	FRA	639	34
UKD6	GBR	593	8
ITC4	ITA	189	2
DK05	DNK	1602	51
ITF6	ITA	857	10
CH01	CHE	444	86
TR42	TUR	2524	13
PL21	POL	222	24
IE05	IRL	1083	3
DED2	DEU	50	9
NL11	NLD	348	148
DK02	DNK	2308	1
ITI4	ITA	760	8
MT00	MLT	530	2
FI1C	FIN	14	1
UKE2	GBR	530	4
DEB3	DEU	381	6
FRK2	FRA	222	44
DE30	DEU	1576	288
CH01	CHE	437	3
DE11	DEU	760	16
CH03	CHE	1284	5
PL61	POL	1012	6
FRH0	FRA	1553	6
ITC1	ITA	2186	6
DE12	DEU	76	3
EL63	GRC	639	8
UKD6	GBR	448	24
ES51	ESP	1602	46
