nuts2	country_iso_alpha3_code	cluster_id1	counts
CH01	CHE	2307	14
FRK2	FRA	639	8
ES61	ESP	393	2
DK01	DNK	1673	2
ITF3	ITA	2307	1
ES11	ESP	765	1
FRK2	FRA	1332	8
UKE3	GBR	765	2
ES70	ESP	530	4
UKH1	GBR	1553	4
UKC1	GBR	1891	18
CH01	CHE	1673	6
DK02	DNK	639	6
UKK1	GBR	397	26
NO06	NOR	393	24
UKH1	GBR	14	5
DED5	DEU	1553	34
UKE3	GBR	376	32
UKH1	GBR	1735	16
TR31	TUR	1891	8
FRJ2	FRA	2184	3
UKF2	GBR	14	1
IE05	IRL	1891	24
NL22	NLD	1366	9
ES61	ESP	765	9
DE13	DEU	397	10
FR10	FRA	2414	532
FRI3	FRA	2414	133
SE12	SWE	397	22
DED4	DEU	2110	2
FRE1	FRA	2414	19
FRF1	FRA	397	18
DEA2	DEU	2307	3
RO32	ROU	1332	24
DEF0	DEU	137	3
UKI3	GBR	1553	8
PT16	PRT	1891	35
UKJ1	GBR	376	4
FRI3	FRA	2184	3
UKD3	GBR	639	6
ITH5	ITA	397	20
UKC1	GBR	639	18
ES52	ESP	393	3
ES21	ESP	2414	19
ES11	ESP	1332	1
DEG0	DEU	2308	2
PT11	PRT	1120	6
PL91	POL	2184	2
NL31	NLD	137	2
DK05	DNK	376	20
FRE1	FRA	393	27
DEA1	DEU	2307	14
UKD3	GBR	278	4
UKM8	GBR	639	3
ITI4	ITA	1366	15
ES30	ESP	639	4
PT17	PRT	1450	154
FR10	FRA	1120	128
UKN0	GBR	1891	3
UKL1	GBR	137	1
ITF3	ITA	1891	6
DE72	DEU	2307	2
BE24	BEL	1120	56
UKF2	GBR	534	2
EL52	GRC	137	1
ES51	ESP	1553	6
NO08	NOR	137	3
DE11	DEU	397	14
UKI3	GBR	1332	19
UKJ1	GBR	393	24
EL43	GRC	1738	8
DE25	DEU	804	6
UKG3	GBR	1891	7
FR10	FRA	2184	6
NO06	NOR	137	4
CH04	CHE	1366	8
EL30	GRC	1891	14
DE21	DEU	2307	3
HU12	HUN	2307	2
FI1D	FIN	2414	114
UKD3	GBR	765	6
NL41	NLD	534	2
FI1B	FIN	397	16
DK05	DNK	1891	18
ES70	ESP	2308	48
NL31	NLD	2307	2
ITI4	ITA	393	24
DEE0	DEU	1553	8
FR10	FRA	14	10
UKC1	GBR	765	18
UKC1	GBR	1553	2
BE10	BEL	1891	2
UKM7	GBR	1332	18
NL33	NLD	1120	16
NL32	NLD	639	12
SE22	SWE	376	8
FRY3	FRA	944	20
UKI3	GBR	397	6
