nuts2	country_iso_alpha3_code	cluster_id1	counts
UKJ3	GBR	804	28
DE30	DEU	2307	3
FRK2	FRA	1120	193
TR51	TUR	2184	1
AT13	AUT	137	2
ITI3	ITA	2414	171
BE31	BEL	1553	2
FRF1	FRA	2308	38
FI1C	FIN	1738	7
RO12	ROU	376	8
NL33	NLD	1332	26
DEA5	DEU	14	7
CH04	CHE	393	3
DE92	DEU	1366	4
UKG3	GBR	1673	3
UKM7	GBR	137	2
ES11	ESP	1735	4
ITI4	ITA	1553	16
TRC1	TUR	765	1
FRB0	FRA	397	4
ES70	ESP	1332	8
EL30	GRC	397	26
FRK2	FRA	2110	2
DE23	DEU	14	1
ITF6	ITA	1332	249
SE12	SWE	2904	12
DE14	DEU	1120	16
NL42	NLD	14	2
DK02	DNK	1332	8
SE23	SWE	2414	114
IE04	IRL	1332	159
UKM5	GBR	1332	12
CZ05	CZE	2414	475
EL30	GRC	1553	8
DEB3	DEU	137	16
UKG3	GBR	804	46
UKH1	GBR	1120	8
ITH3	ITA	2308	2
ITF4	ITA	397	10
RO42	ROU	1332	1
UKD7	GBR	1120	8
DE30	DEU	1450	54
ITI3	ITA	137	1
DED5	DEU	1450	8
AT13	AUT	1332	6
FRJ1	FRA	397	14
TR81	TUR	1120	9
CH01	CHE	1738	18
PL63	POL	1332	1
ES13	ESP	1332	2
ITI3	ITA	1120	8
DK01	DNK	639	18
PL41	POL	376	8
UKI3	GBR	1120	134
DE13	DEU	1120	72
DEA2	DEU	397	8
ITF4	ITA	765	6
ES61	ESP	1738	6
PT16	PRT	1738	68
FRG0	FRA	1553	4
DE60	DEU	748	27
UKH1	GBR	2110	3
ES30	ESP	137	7
ITH4	ITA	376	24
TR10	TUR	1120	4
PL91	POL	393	2
ES30	ESP	2110	13
FRD2	FRA	2414	57
DED4	DEU	2184	3
ES30	ESP	1120	20
NL33	NLD	1738	4
TR90	TUR	1332	10
ITF4	ITA	639	6
UKF2	GBR	393	1
IE06	IRL	1891	1162
UKE3	GBR	1120	44
PT16	PRT	397	20
FRE1	FRA	376	12
ES30	ESP	2904	2
PT11	PRT	1332	19
DE60	DEU	1553	2
EL52	GRC	393	27
UKM7	GBR	2307	22
UKJ1	GBR	137	32
SE22	SWE	944	2
AT22	AUT	1673	3
UKJ1	GBR	2110	1
NO0A	NOR	2414	19
UKG3	GBR	137	4
ES70	ESP	1738	8
UKI3	GBR	1450	76
FI1B	FIN	748	54
DE13	DEU	1450	32
UKD3	GBR	1735	8
DE11	DEU	1332	5
FRC2	FRA	1120	8
EL63	GRC	1738	2
ES30	ESP	1735	8
PT16	PRT	765	1
NL32	NLD	137	4
FI1D	FIN	1366	4
DE40	DEU	1553	16
TR62	TUR	1120	15
UKJ1	GBR	1735	16
FR10	FRA	1891	21
CH03	CHE	1738	20
TR32	TUR	1450	18
BE24	BEL	1366	13
BE10	BEL	397	14
TR10	TUR	2414	38
UKM8	GBR	376	16
NO08	NOR	1891	6
FRK2	FRA	1450	22
ES70	ESP	137	2
PL81	POL	1120	12
TR10	TUR	376	8
ES30	ESP	1450	26
DE12	DEU	2184	4
UKH2	GBR	2184	2
DE13	DEU	393	1
DE13	DEU	2307	31
FRF2	FRA	2904	1
UKH1	GBR	1450	24
SI04	SVN	1735	52
UKF1	GBR	765	3
UKD7	GBR	1450	26
UKK1	GBR	14	9
UKH1	GBR	804	21
CH01	CHE	1332	28
DEA1	DEU	1366	2
FRH0	FRA	1332	31
HU11	HUN	14	4
EL52	GRC	1891	7
ITH5	ITA	393	3
NL21	NLD	1891	6
ES61	ESP	1332	6
DE26	DEU	2307	4
DED5	DEU	534	2
DEA2	DEU	376	8
BE22	BEL	376	8
BE23	BEL	1891	23
UKE2	GBR	397	28
RS12	SRB	1120	8
UKL1	GBR	1891	20
FI1C	FIN	14	3
DEA5	DEU	1738	12
NL41	NLD	1120	4
ES43	ESP	393	12
NL31	NLD	1366	8
FRI1	FRA	1450	18
ITI4	ITA	765	2
SE23	SWE	14	18
UKD3	GBR	14	4
DEG0	DEU	1120	31
NO06	NOR	1891	194
TR31	TUR	397	4
PT17	PRT	1891	351
DEF0	DEU	1891	8
AT12	AUT	1332	6
ITG2	ITA	376	4
ITF1	ITA	376	20
ES30	ESP	14	5
DE25	DEU	14	2
UKC2	GBR	1332	16
HU11	HUN	1553	16
DE30	DEU	2184	25
FRI1	FRA	2414	38
DED2	DEU	397	12
ITI4	ITA	397	4
CH04	CHE	1553	14
EE00	EST	2110	5
DK04	DNK	376	24
UKJ2	GBR	397	4
NL41	NLD	1450	66
SI03	SVN	137	19
AT13	AUT	397	76
PL91	POL	1891	2
UKF1	GBR	1366	4
SE12	SWE	1332	11
DE14	DEU	804	6
IE05	IRL	1332	48
DE11	DEU	1553	62
SE33	SWE	1673	8
ES51	ESP	1450	30
ITC4	ITA	1450	80
DK01	DNK	1332	5
UKM8	GBR	765	6
FI19	FIN	137	3
TR51	TUR	1450	48
CZ01	CZE	376	36
ES61	ESP	14	4
FRK2	FRA	393	11
SE33	SWE	2307	1
ITI2	ITA	397	10
DED2	DEU	639	9
ES51	ESP	1673	17
FRG0	FRA	1332	24
ITC1	ITA	137	16
TR42	TUR	1738	2
ITF4	ITA	1332	28
ITG2	ITA	1891	2
UKJ3	GBR	1891	28
FRD1	FRA	2414	57
AT12	AUT	1738	2
FRJ2	FRA	765	2
TRC1	TUR	1332	3
NL21	NLD	944	5
FRJ2	FRA	1891	24
CH04	CHE	1332	36
ITC1	ITA	1120	33
UKI3	GBR	2184	1
ES41	ESP	1891	24
TR51	TUR	1120	243
ITH5	ITA	1891	70
TR72	TUR	393	25
DE11	DEU	639	8
AT13	AUT	2308	4
UKC1	GBR	1332	22
FRH0	FRA	1553	50
DEE0	DEU	393	4
FRL0	FRA	1553	4
ES51	ESP	2414	209
ITF3	ITA	1553	44
SE11	SWE	1450	2
FRJ2	FRA	397	6
ES51	ESP	2307	8
FRI1	FRA	137	1
UKD4	GBR	397	122
FRE2	FRA	530	8
BG41	BGR	376	4
UKI3	GBR	14	2
ES41	ESP	393	2
RO22	ROU	1332	2
ITC4	ITA	137	16
UKM9	GBR	1891	2
TR71	TUR	1120	3
DEE0	DEU	1120	12
FI1C	FIN	2184	2
ES51	ESP	1120	11
DE13	DEU	1673	3
ITC4	ITA	1120	71
TR71	TUR	137	4
FR10	FRA	2110	4
IE05	IRL	1738	17
RO11	ROU	376	12
DE91	DEU	1891	42
NL33	NLD	2184	2
IE06	IRL	393	3
NL11	NLD	1891	92
SE23	SWE	2184	6
