nuts2	country_iso_alpha3_code	cluster_id1	counts
FI1B	FIN	232	26
PL63	POL	639	32
SK04	SVK	340	1
ITF4	ITA	1468	21
BE10	BEL	639	70
MT00	MLT	45	18
DK04	DNK	3367	4
TR63	TUR	393	27
BE33	BEL	760	132
FR10	FRA	649	1
DEA5	DEU	1284	130
BE24	BEL	3481	668
UKE3	GBR	256	11
UKK1	GBR	1139	3
FRK2	FRA	662	44
ES51	ESP	825	116
HR06	HRV	530	2
FRI3	FRA	784	2
ITC4	ITA	2608	2
IS00	ISL	1897	4
ES61	ESP	448	30
UKK4	GBR	3396	4
ES42	ESP	337	262
ITG1	ITA	1332	52
UKH1	GBR	376	30
TR90	TUR	393	2
RO11	ROU	2308	2
AT22	AUT	632	18
SE12	SWE	733	2
HR03	HRV	444	48
SE12	SWE	1450	10
UKJ1	GBR	897	10
DE21	DEU	50	2
UKI3	GBR	2079	4
NO08	NOR	437	13
ITG1	ITA	278	16
PL51	POL	1602	4
DEA1	DEU	765	27
DE11	DEU	1322	10
UKM7	GBR	234	6
FRJ1	FRA	1553	4
UKF1	GBR	2854	12
TR42	TUR	1139	6
FRJ2	FRA	381	75
FRF2	FRA	19	14
EL61	GRC	182	3
HU11	HUN	275	18
FRF1	FRA	182	4
FRI3	FRA	340	6
UKD3	GBR	448	61
DEA2	DEU	3481	152
SE12	SWE	897	10
SK03	SVK	444	2
FRE2	FRA	1185	4
DEA5	DEU	381	54
UKM7	GBR	1185	78
NL41	NLD	1185	84
IE04	IRL	182	5
DE13	DEU	765	18
TR32	TUR	530	24
DE12	DEU	953	36
DE91	DEU	1576	20
TR42	TUR	348	56
UKK1	GBR	1518	48
TR51	TUR	376	126
CZ01	CZE	857	32
PL91	POL	760	1
UKI3	GBR	1012	12
PL71	POL	50	1
PL91	POL	558	8
FRB0	FRA	1139	4
FRJ1	FRA	2186	3
UKM7	GBR	639	256
TR62	TUR	796	16
TR83	TUR	920	1
ITF3	ITA	1602	99
FRK2	FRA	784	133
FI1C	FIN	920	8
ITH4	ITA	299	16
EL51	GRC	256	153
UKJ2	GBR	1450	32
CH04	CHE	1492	6
NO08	NOR	444	38
SE23	SWE	319	3
ITH4	ITA	1391	6
FRJ2	FRA	1185	2
BG33	BGR	639	148
SE11	SWE	2854	12
UKG3	GBR	1185	2
RO21	ROU	444	72
ITC3	ITA	1139	1
SE33	SWE	1332	49
NL32	NLD	530	120
NL33	NLD	234	12
BG41	BGR	1738	140
TR51	TUR	167	4
EL63	GRC	3389	4
NL31	NLD	444	2
PL91	POL	1332	71
DE24	DEU	1602	2
SI03	SVN	1468	13
UKG1	GBR	530	36
UKM9	GBR	639	88
DE26	DEU	50	9
ES51	ESP	278	104
NL32	NLD	632	37
CH03	CHE	381	66
UKM5	GBR	825	4
CZ01	CZE	2184	101
DEA5	DEU	1345	2
MK00	MKD	1738	10
ES22	ESP	1468	18
DE24	DEU	1576	30
PL91	POL	1743	1
ITF2	ITA	1615	29
SE11	SWE	2308	4
ITH5	ITA	639	249
DK01	DNK	1984	60
FRK2	FRA	3367	2
UKE4	GBR	1083	84
UKM8	GBR	510	4
FRJ1	FRA	232	34
ITI2	ITA	662	16
CZ01	CZE	337	106
ITC3	ITA	1576	14
UKH3	GBR	3146	15
ES61	ESP	1891	146
ITC4	ITA	1185	24
ES61	ESP	1345	64
CH03	CHE	336	1
NO06	NOR	1367	16
EL52	GRC	299	16
ITI1	ITA	662	62
DE91	DEU	1322	2
UKF2	GBR	1897	4
ES22	ESP	784	4
FRJ2	FRA	256	516
UKM7	GBR	340	12
UKH3	GBR	662	4
UKM7	GBR	677	28
DEG0	DEU	337	15
SE22	SWE	1332	31
SE11	SWE	772	6
ES42	ESP	639	3766
TR51	TUR	1247	18
EL30	GRC	1576	130
SE23	SWE	1518	2
UKE4	GBR	444	2
FRK2	FRA	19	32
TR62	TUR	50	7
UKJ3	GBR	482	1
AT22	AUT	857	130
DEF0	DEU	444	16
DE71	DEU	1332	50
FRJ2	FRA	182	8
PL71	POL	14	1
DK01	DNK	1891	117
DE21	DEU	1139	57
FI1C	FIN	1492	1
BE31	BEL	182	2
HR05	HRV	2431	2
TR42	TUR	1891	4
DE60	DEU	3389	3
CY00	CYP	530	110
DEC0	DEU	530	6
UKC2	GBR	381	139
ES24	ESP	1185	60
SE11	SWE	765	3
DE30	DEU	1518	2
ITC3	ITA	1293	4
UKD7	GBR	98	12
UKG3	GBR	1738	338
UKI3	GBR	376	2
FRL0	FRA	1984	76
FRE2	FRA	256	17
ES52	ESP	1139	2
ITI4	ITA	1139	13
CH04	CHE	772	1
UKM7	GBR	2204	4
CY00	CYP	765	1
RO32	ROU	19	3
UKJ3	GBR	437	3
SK02	SVK	857	2
ES42	ESP	1083	40
TR81	TUR	639	8
HU21	HUN	2854	6
DE92	DEU	1284	4
BG41	BGR	337	28
ES41	ESP	3146	6
RS11	SRB	256	36
UKJ4	GBR	857	8
ITC4	ITA	2978	2
DE60	DEU	825	6
DE94	DEU	897	2
DE11	DEU	348	6
RO32	ROU	1083	30
DE92	DEU	1120	2
DK05	DNK	760	86
RS12	SRB	530	8
ES51	ESP	677	584
RS11	SRB	1576	16
ITC4	ITA	124	2
ITF4	ITA	189	4
BE21	BEL	760	62
ES61	ESP	1682	1
EL30	GRC	448	26
TR52	TUR	1391	8
TR10	TUR	441	2
CH07	CHE	1738	16
DEB3	DEU	259	12
UKI3	GBR	649	15
ITH5	ITA	482	3
UKJ1	GBR	1083	191
ITI1	ITA	234	6
UKJ2	GBR	920	2
RO42	ROU	1576	8
ES11	ESP	444	22
ES51	ESP	1332	476
NL21	NLD	1984	8
FI19	FIN	760	42
UKM8	GBR	3367	14
PT16	PRT	381	9
ITC3	ITA	1332	19
UKM8	GBR	1185	26
PT17	PRT	1322	4
TR51	TUR	1083	187
BE32	BEL	530	12
UKD3	GBR	297	8
DE26	DEU	966	68
DE14	DEU	393	16
FRE2	FRA	340	12
UKC2	GBR	256	38
FRK2	FRA	376	3
NL31	NLD	232	10
SK04	SVK	256	109
IE06	IRL	1120	30
UKI3	GBR	1237	11
UKD7	GBR	278	14
CH01	CHE	765	31
BE35	BEL	534	4
UKI3	GBR	482	6
DK01	DNK	394	235
UKN0	GBR	3389	4
